,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,"('得票数', '得票数_NHKから国民を守る党')","('得票数', '得票数_かがやけ十勝')","('得票数', '得票数_みんなの党')","('得票数', '得票数_保守党北海道')","('得票数', '得票数_公明党')","('得票数', '得票数_国民民主党')","('得票数', '得票数_地域政党かがやけ十勝')","('得票数', '得票数_大日本愛国党札幌支部')","('得票数', '得票数_市民ネットワーク北海道')","('得票数', '得票数_幸福実現党')","('得票数', '得票数_憲法の風')","('得票数', '得票数_改革札幌')","('得票数', '得票数_政治団体北守会')","('得票数', '得票数_新党大地')","('得票数', '得票数_新社会党')","('得票数', '得票数_新自由クラブ')","('得票数', '得票数_新進')","('得票数', '得票数_日本共産党')","('得票数', '得票数_日本社会党')","('得票数', '得票数_日本維新の会')","('得票数', '得票数_民主党')","('得票数', '得票数_民社')","('得票数', '得票数_無所属')","('得票数', '得票数_生長の家政治連合')","('得票数', '得票数_社会民主党')","('得票数', '得票数_立憲民主党')","('得票数', '得票数_維新の党')","('得票数', '得票数_自由党')","('得票数', '得票数_自由民主党')","('得票数', '得票数_道民党')","('得票数', '得票数_sum_v')","('得票率', '得票率_NHKから国民を守る党')","('得票率', '得票率_かがやけ十勝')","('得票率', '得票率_みんなの党')","('得票率', '得票率_保守党北海道')","('得票率', '得票率_公明党')","('得票率', '得票率_国民民主党')","('得票率', '得票率_地域政党かがやけ十勝')","('得票率', '得票率_大日本愛国党札幌支部')","('得票率', '得票率_市民ネットワーク北海道')","('得票率', '得票率_幸福実現党')","('得票率', '得票率_憲法の風')","('得票率', '得票率_改革札幌')","('得票率', '得票率_政治団体北守会')","('得票率', '得票率_新党大地')","('得票率', '得票率_新社会党')","('得票率', '得票率_新自由クラブ')","('得票率', '得票率_新進')","('得票率', '得票率_日本共産党')","('得票率', '得票率_日本社会党')","('得票率', '得票率_日本維新の会')","('得票率', '得票率_民主党')","('得票率', '得票率_民社')","('得票率', '得票率_無所属')","('得票率', '得票率_生長の家政治連合')","('得票率', '得票率_社会民主党')","('得票率', '得票率_立憲民主党')","('得票率', '得票率_維新の党')","('得票率', '得票率_自由党')","('得票率', '得票率_自由民主党')","('得票率', '得票率_道民党')","('得票率', '得票率_sum_v')","('一人あたり得票率', '一人あたり得票率_NHKから国民を守る党')","('一人あたり得票率', '一人あたり得票率_かがやけ十勝')","('一人あたり得票率', '一人あたり得票率_みんなの党')","('一人あたり得票率', '一人あたり得票率_保守党北海道')","('一人あたり得票率', '一人あたり得票率_公明党')","('一人あたり得票率', '一人あたり得票率_国民民主党')","('一人あたり得票率', '一人あたり得票率_地域政党かがやけ十勝')","('一人あたり得票率', '一人あたり得票率_大日本愛国党札幌支部')","('一人あたり得票率', '一人あたり得票率_市民ネットワーク北海道')","('一人あたり得票率', '一人あたり得票率_幸福実現党')","('一人あたり得票率', '一人あたり得票率_憲法の風')","('一人あたり得票率', '一人あたり得票率_改革札幌')","('一人あたり得票率', '一人あたり得票率_政治団体北守会')","('一人あたり得票率', '一人あたり得票率_新党大地')","('一人あたり得票率', '一人あたり得票率_新社会党')","('一人あたり得票率', '一人あたり得票率_新自由クラブ')","('一人あたり得票率', '一人あたり得票率_新進')","('一人あたり得票率', '一人あたり得票率_日本共産党')","('一人あたり得票率', '一人あたり得票率_日本社会党')","('一人あたり得票率', '一人あたり得票率_日本維新の会')","('一人あたり得票率', '一人あたり得票率_民主党')","('一人あたり得票率', '一人あたり得票率_民社')","('一人あたり得票率', '一人あたり得票率_無所属')","('一人あたり得票率', '一人あたり得票率_生長の家政治連合')","('一人あたり得票率', '一人あたり得票率_社会民主党')","('一人あたり得票率', '一人あたり得票率_立憲民主党')","('一人あたり得票率', '一人あたり得票率_維新の党')","('一人あたり得票率', '一人あたり得票率_自由党')","('一人あたり得票率', '一人あたり得票率_自由民主党')","('一人あたり得票率', '一人あたり得票率_道民党')","('立候補者数', '立候補者数_NHKから国民を守る党')","('立候補者数', '立候補者数_かがやけ十勝')","('立候補者数', '立候補者数_みんなの党')","('立候補者数', '立候補者数_保守党北海道')","('立候補者数', '立候補者数_公明党')","('立候補者数', '立候補者数_国民民主党')","('立候補者数', '立候補者数_地域政党かがやけ十勝')","('立候補者数', '立候補者数_大日本愛国党札幌支部')","('立候補者数', '立候補者数_市民ネットワーク北海道')","('立候補者数', '立候補者数_幸福実現党')","('立候補者数', '立候補者数_憲法の風')","('立候補者数', '立候補者数_改革札幌')","('立候補者数', '立候補者数_政治団体北守会')","('立候補者数', '立候補者数_新党大地')","('立候補者数', '立候補者数_新社会党')","('立候補者数', '立候補者数_新自由クラブ')","('立候補者数', '立候補者数_新進')","('立候補者数', '立候補者数_日本共産党')","('立候補者数', '立候補者数_日本社会党')","('立候補者数', '立候補者数_日本維新の会')","('立候補者数', '立候補者数_民主党')","('立候補者数', '立候補者数_民社')","('立候補者数', '立候補者数_無所属')","('立候補者数', '立候補者数_生長の家政治連合')","('立候補者数', '立候補者数_社会民主党')","('立候補者数', '立候補者数_立憲民主党')","('立候補者数', '立候補者数_維新の党')","('立候補者数', '立候補者数_自由党')","('立候補者数', '立候補者数_自由民主党')","('立候補者数', '立候補者数_道民党')","('当選者数', '当選者数_NHKから国民を守る党')","('当選者数', '当選者数_かがやけ十勝')","('当選者数', '当選者数_みんなの党')","('当選者数', '当選者数_保守党北海道')","('当選者数', '当選者数_公明党')","('当選者数', '当選者数_国民民主党')","('当選者数', '当選者数_地域政党かがやけ十勝')","('当選者数', '当選者数_大日本愛国党札幌支部')","('当選者数', '当選者数_市民ネットワーク北海道')","('当選者数', '当選者数_幸福実現党')","('当選者数', '当選者数_憲法の風')","('当選者数', '当選者数_改革札幌')","('当選者数', '当選者数_政治団体北守会')","('当選者数', '当選者数_新党大地')","('当選者数', '当選者数_新社会党')","('当選者数', '当選者数_新自由クラブ')","('当選者数', '当選者数_新進')","('当選者数', '当選者数_日本共産党')","('当選者数', '当選者数_日本社会党')","('当選者数', '当選者数_日本維新の会')","('当選者数', '当選者数_民主党')","('当選者数', '当選者数_民社')","('当選者数', '当選者数_無所属')","('当選者数', '当選者数_生長の家政治連合')","('当選者数', '当選者数_社会民主党')","('当選者数', '当選者数_立憲民主党')","('当選者数', '当選者数_維新の党')","('当選者数', '当選者数_自由党')","('当選者数', '当選者数_自由民主党')","('当選者数', '当選者数_道民党')"
えりも町議会議員補欠選挙（2013年05月26日投票）,えりも町議会議員補欠選挙,北海道,えりも町,20130526.0,2013.0,5.0,26.0,20130521.0,無投票,1.0,1.0,1.0,,,,,その他,,,,,えりも町議会議員補欠選挙（2013年05月26日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,34.0,0.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,34.0,34.0,34.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
えりも町議会議員補欠選挙（2017年05月21日投票）,えりも町議会議員補欠選挙,北海道,えりも町,20170521.0,2017.0,5.0,21.0,20170516.0,無投票,1.0,1.0,1.0,,,,,退職/近藤一郎議員の町長選出馬による辞職のため,,,,,えりも町議会議員補欠選挙（2017年05月21日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,0.0,37.0,0.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,37.0,37.0,37.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
えりも町議会議員選挙（1999年04月25日投票）,えりも町議会議員選挙,北海道,えりも町,19990425.0,1999.0,4.0,25.0,19990420.0,92.92,16.0,17.0,1.0625,4970.0,,,,任期満了,,,,,えりも町議会議員選挙（1999年04月25日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.0,0.0,0.7647058823529411,0.23529411764705882,0.0,0.75,0.25,0.0,0.6925256047069078,0.3074743952930922,,0.05327120036206983,0.07686859882327304,,4589.0,3.0,58.05882352941177,10.838225317259356,42.0,47.0,57.0,70.0,75.0,58.75,10.80219885023415,42.0,48.5,59.0,70.0,75.0,,,,,323.0,,,,,,,,,,,,,318.0,,,,,3948.0,,,,,,,,4589.0,,,,,0.07038570494661146,,,,,,,,,,,,,0.06929614295053388,,,,,0.8603181521028547,,,,,,,,1.0,,,,,0.07038570494661146,,,,,,,,,,,,,0.06929614295053388,,,,,0.057354543473523645,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,15.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,14.0,,,,,,,
えりも町議会議員選挙（2003年04月27日投票）,えりも町議会議員選挙,北海道,えりも町,20030427.0,2003.0,4.0,27.0,20030422.0,92.57,14.0,15.0,1.0714285714285714,4802.0,,,-168.0,任期満了,92.92,,,,えりも町議会議員選挙（2003年04月27日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.8,0.06666666666666667,0.13333333333333333,0.7857142857142857,0.07142857142857142,0.14285714285714285,0.7312755333635951,0.08079891057648661,0.1879255560599183,0.06093962778029959,0.08079891057648661,0.09396277802995914,4405.999999999999,3.0,57.733333333333334,8.805049056586164,46.0,51.0,54.0,63.0,74.0,56.57142857142857,7.925675146674398,46.0,51.0,53.5,59.75,74.0,,,,,276.0,,,,,,,,,,,,,260.0,,,,,3870.0,,,,,,,,4406.0,,,,,0.06264185201997277,,,,,,,,,,,,,0.05901044030867,,,,,0.8783477076713573,,,,,,,,1.0,,,,,0.06264185201997277,,,,,,,,,,,,,0.05901044030867,,,,,0.0675652082824121,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,13.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,12.0,,,,,,,
えりも町議会議員選挙（2007年04月22日投票）,えりも町議会議員選挙,北海道,えりも町,20070422.0,2007.0,4.0,22.0,20070417.0,88.48,11.0,13.0,1.181818181818182,4573.0,,,-229.0,任期満了,92.57,,,,えりも町議会議員選挙（2007年04月22日投票）,1.0,13.0,11.0,1.1818181818181819,0.0,0.0,0.0,0.07692307692307693,0.0,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.8181818181818182,0.18181818181818182,0.0,0.7896568871208354,0.19194430631526604,0.018398806563898557,0.08773965412453727,0.06398143543842201,0.018398806563898557,4022.0,3.0,60.23076923076923,6.470689490711719,50.0,55.0,60.0,64.0,73.0,58.36363636363637,5.068130859915037,50.0,55.0,57.0,61.0,69.0,,,,,385.0,,,,,,,,,,,,,349.0,,,,,3288.0,,,,,,,,4022.0,,,,,0.09572352063649925,,,,,,,,,,,,,0.08677274987568374,,,,,0.817503729487817,,,,,,,,1.0,,,,,0.09572352063649925,,,,,,,,,,,,,0.08677274987568374,,,,,0.07431852086252883,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,11.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,9.0,,,,,,,
えりも町議会議員選挙（2011年04月24日投票）,えりも町議会議員選挙,北海道,えりも町,20110424.0,2011.0,4.0,24.0,20110419.0,,11.0,12.0,1.0909090909090908,,,,,任期満了,88.48,,,,えりも町議会議員選挙（2011年04月24日投票）,1.0,12.0,11.0,1.0909090909090908,0.0,0.0,0.0,0.08333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.7272727272727273,0.2727272727272727,0.0,0.6683717193358328,0.3316282806641671,,0.0835464649169791,0.08290707016604178,,3734.0,2.0,,,,,,,,,,,,,,,,,,,305.0,,,,,,,,,,,,,,,,,,3429.0,,,,,,,,3734.0,,,,,0.08168184252811998,,,,,,,,,,,,,,,,,,0.9183181574718801,,,,,,,,1.0,,,,,0.08168184252811998,,,,,,,,,,,,,,,,,,0.08348346886108,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,
えりも町議会議員選挙（2015年04月26日投票）,えりも町議会議員選挙,北海道,えりも町,20150426.0,2015.0,4.0,26.0,20150421.0,84.28,11.0,12.0,1.0909090909090908,,,,,任期満了,,,,,えりも町議会議員選挙（2015年04月26日投票）,1.0,12.0,11.0,1.0909090909090908,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.08333333333333333,0.9090909090909091,0.0,0.09090909090909091,0.950425344675858,,0.04957465532414198,0.08640230406144164,,0.04957465532414198,3409.0,2.0,,,,,,,,,,,,,,,,,,,298.0,,,,,,,,,,,,,,,,,,3111.0,,,,,,,,3409.0,,,,,0.08741566441771781,,,,,,,,,,,,,,,,,,0.9125843355822822,,,,,,,,1.0,,,,,0.08741566441771781,,,,,,,,,,,,,,,,,,0.08296221232566202,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,
えりも町議会議員選挙（2019年04月21日投票）,えりも町議会議員選挙,北海道,えりも町,20190421.0,2019.0,4.0,21.0,20190416.0,86.09,11.0,13.0,1.181818181818182,3874.0,,,,任期満了,84.28,,,,えりも町議会議員選挙（2019年04月21日投票）,1.0,13.0,11.0,1.1818181818181819,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.6363636363636364,0.36363636363636365,0.0,0.6358695652173914,0.3457125603864734,0.018417874396135264,0.07948369565217392,0.08642814009661835,0.018417874396135264,3312.0,2.0,58.92307692307692,10.5426718147765,39.0,50.0,65.0,67.0,69.0,59.81818181818182,9.768392273209844,39.0,56.0,65.0,66.5,69.0,,,,,261.0,,,,,,,,,,,,,,,,,,3051.0,,,,,,,,3312.0,,,,,0.07880434782608696,,,,,,,,,,,,,,,,,,0.9211956521739131,,,,,,,,1.0,,,,,0.07880434782608696,,,,,,,,,,,,,,,,,,0.0767663043478261,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,
せたな町議会議員補欠選挙（2013年09月08日投票）,せたな町議会議員補欠選挙,北海道,せたな町,20130908.0,2013.0,9.0,8.0,20130903.0,82.52,1.0,2.0,2.0,,,,,その他,,,,,せたな町議会議員補欠選挙（2013年09月08日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,1.0,,,0.5,5977.0,2.0,63.0,1.0,62.0,62.5,63.0,63.5,64.0,62.0,0.0,62.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,,,,,,2842.0,,,,,3135.0,,,,,,,,5977.0,,,,,,,,,,,,,,,,,,0.4754893759411076,,,,,0.5245106240588924,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.4754893759411076,,,,,0.5245106240588924,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,
せたな町議会議員選挙（2007年04月22日投票）,せたな町議会議員選挙,北海道,せたな町,20070422.0,2007.0,4.0,22.0,20070417.0,90.5,16.0,22.0,1.375,8882.0,,,,任期満了,,,,,せたな町議会議員選挙（2007年04月22日投票）,1.0,22.0,16.0,1.375,0.0,0.0,0.0,0.045454545454545456,0.0625,0.9090909090909091,0.09090909090909091,0.0,0.875,0.125,0.0,0.8869390824768112,0.11306091752318877,,0.04434695412384056,0.056530458761594383,,7978.0,3.0,57.95454545454545,6.123555656993536,46.0,55.0,56.5,61.0,75.0,57.0,6.354132513569417,46.0,54.75,55.0,58.75,75.0,,,,,406.0,,,,,,,,,,,,,337.0,,,,,7235.0,,,,,,,,7978.0,,,,,0.050889947355226874,,,,,,,,,,,,,0.04224116319879669,,,,,0.9068688894459764,,,,,,,,1.0,,,,,0.050889947355226874,,,,,,,,,,,,,0.04224116319879669,,,,,0.04534344447229882,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,20.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,14.0,,,,,,,
せたな町議会議員選挙（2011年04月24日投票）,せたな町議会議員選挙,北海道,せたな町,20110424.0,2011.0,4.0,24.0,20110419.0,87.71,12.0,15.0,1.25,8208.0,,,-674.0,任期満了,90.5,,,,せたな町議会議員選挙（2011年04月24日投票）,1.0,15.0,12.0,1.25,0.0,0.0,0.0,0.06666666666666667,0.08333333333333333,0.8666666666666667,0.0,0.13333333333333333,0.8333333333333334,0.0,0.16666666666666666,0.8547439126784215,,0.1452560873215785,0.06574953174449397,,0.07262804366078925,7146.0,3.0,,,,,,,,,,,,,,,,,,,449.0,,,,,,,,,,,,,395.0,,,,,6302.0,,,,,,,,7146.0,,,,,0.06283235376434369,,,,,,,,,,,,,0.05527567870137139,,,,,0.8818919675342849,,,,,,,,1.0,,,,,0.06283235376434369,,,,,,,,,,,,,0.05527567870137139,,,,,0.06783784365648346,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,13.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,11.0,,,,,,,
せたな町議会議員選挙（2015年04月26日投票）,せたな町議会議員選挙,北海道,せたな町,20150426.0,2015.0,4.0,26.0,20150421.0,83.9,12.0,13.0,1.0833333333333333,,,,,任期満了,87.71,,,,せたな町議会議員選挙（2015年04月26日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.23076923076923078,0.15384615384615385,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6425259792166267,0.17442046362909672,0.18305355715427657,0.08031574740207834,0.05814015454303224,0.09152677857713828,6255.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.0,,,,,5695.0,,,,,,,,6255.0,,,,,,,,,,,,,,,,,,0.08952837729816147,,,,,0.9104716227018386,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.08952837729816147,,,,,0.07587263522515321,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,11.0,,,,,,,
せたな町議会議員選挙（2019年04月21日投票）,せたな町議会議員選挙,北海道,せたな町,20190421.0,2019.0,4.0,21.0,20190416.0,84.41,12.0,14.0,1.1666666666666667,6928.0,,,,任期満了,83.9,,,,せたな町議会議員選挙（2019年04月21日投票）,1.0,14.0,12.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6668961955586159,0.33310380444138404,,0.06668961955586158,0.08327595111034601,,5809.0,1.0,63.57142857142857,7.007284839103269,49.0,60.0,66.5,67.0,74.0,64.66666666666667,6.182412330330468,51.0,60.0,67.0,67.5,74.0,,,,,,,,,,,,,,,,,,,,,,,5809.0,,,,,,,,5809.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,
むかわ町議会議員選挙（2006年04月23日投票）,むかわ町議会議員選挙,北海道,むかわ町,20060423.0,2006.0,4.0,23.0,20060418.0,87.41,0.0,24.0,,9532.0,,,,その他,,,,,むかわ町議会議員選挙（2006年04月23日投票）,2.0,24.0,20.0,1.2,0.0,0.0,0.0,0.08333333333333333,0.1,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.041666666666666664,,7411.0,2.0,61.0,6.3508529610858835,48.0,58.0,59.0,66.0,74.0,61.05,6.763689821391872,48.0,57.75,60.5,66.0,74.0,,,,,,,,,,,,,,,,,,1094.0,,,,,6317.0,,,,,,,,7411.0,,,,,,,,,,,,,,,,,,0.14761840507353932,,,,,0.8523815949264607,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.049206135024513105,,,,,0.04058959975840289,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,17.0,,,,,,,
むかわ町議会議員選挙（2010年04月11日投票）,むかわ町議会議員選挙,北海道,むかわ町,20100411.0,2010.0,4.0,11.0,20100406.0,85.29,16.0,17.0,1.0625,8128.0,,,-1404.0,任期満了,87.41,,,,むかわ町議会議員選挙（2010年04月11日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.11764705882352941,0.125,0.8823529411764706,0.11764705882352941,0.0,0.875,0.125,0.0,0.8185448466346853,0.18145515336531473,,0.054569656442312355,0.09072757668265737,,6879.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721.0,,,387.0,,5771.0,,,,,,,,6879.0,,,,,,,,,,,,,,,,,,0.10481174589329845,,,0.05625817706061927,,0.8389300770460822,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.05240587294664922,,,0.05625817706061927,,0.05992357693186302,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,13.0,,,,,,,
むかわ町議会議員選挙（2014年04月13日投票）,むかわ町議会議員選挙,北海道,むかわ町,20140413.0,2014.0,4.0,13.0,20140408.0,79.23,14.0,15.0,1.0714285714285714,,,,,任期満了,85.29,,,,むかわ町議会議員選挙（2014年04月13日投票）,1.0,15.0,14.0,1.0714285714285714,0.0,0.0,0.0,0.06666666666666667,0.07142857142857142,0.9333333333333333,0.06666666666666667,0.0,1.0,0.0,0.0,0.9520121232530729,0.047987876746927095,,0.06800086594664807,0.047987876746927095,,5939.0,3.0,65.66666666666667,6.788879796320516,53.0,63.0,66.0,67.0,82.0,65.71428571428571,7.024737630368141,53.0,62.0,66.0,67.0,82.0,,,,,,,,,,,,,,,,,,992.0,,,430.0,,4517.0,,,,,,,,5939.0,,,,,,,,,,,,,,,,,,0.16703148678228658,,,0.07240276140764439,,0.760565751810069,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.05567716226076219,,,0.07240276140764439,,0.06914234107364264,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,11.0,,,,,,,
むかわ町議会議員選挙（2018年03月18日投票）,むかわ町議会議員選挙,北海道,むかわ町,20180318.0,2018.0,3.0,18.0,20180313.0,無投票,14.0,13.0,0.9285714285714286,,,,,任期満了,79.23,,,,むかわ町議会議員選挙（2018年03月18日投票）,1.0,13.0,13.0,1.0,1.0,1.0,0.0,0.07692307692307693,0.07692307692307693,0.8461538461538461,0.15384615384615385,0.0,0.8461538461538461,0.15384615384615385,0.0,,,,,,,0.0,0.0,66.92307692307692,4.921874853245043,57.0,63.0,69.0,70.0,75.0,66.92307692307692,4.921874853245043,57.0,63.0,69.0,70.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ニセコ町議会議員選挙（2007年04月22日投票）,ニセコ町議会議員選挙,北海道,ニセコ町,20070422.0,2007.0,4.0,22.0,20070417.0,無投票,10.0,10.0,1.0,3875.0,,,,任期満了,,,,,ニセコ町議会議員選挙（2007年04月22日投票）,1.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7,0.3,0.0,0.7,0.3,0.0,,,,,,,0.0,2.0,62.5,7.774959806970066,49.0,55.75,63.5,69.0,73.0,62.5,7.774959806970066,49.0,55.75,63.5,69.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,9.0,,,,,,,
ニセコ町議会議員選挙（2011年04月24日投票）,ニセコ町議会議員選挙,北海道,ニセコ町,20110424.0,2011.0,4.0,24.0,20110419.0,78.77,10.0,11.0,1.1,3810.0,,,-65.0,任期満了,,,,,ニセコ町議会議員選挙（2011年04月24日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.09090909090909091,0.1,0.5454545454545454,0.36363636363636365,0.09090909090909091,0.6,0.3,0.1,0.5432223343424151,0.262024890682812,0.19475277497477295,0.09053705572373584,0.065506222670703,0.19475277497477295,2973.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,,,,,2795.0,,,,,,,,2973.0,,,,,,,,,,,,,,,,,,0.059872182980154724,,,,,0.9401278170198453,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.059872182980154724,,,,,0.09401278170198453,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,9.0,,,,,,,
ニセコ町議会議員選挙（2015年04月26日投票）,ニセコ町議会議員選挙,北海道,ニセコ町,20150426.0,2015.0,4.0,26.0,20150421.0,79.72,10.0,11.0,1.1,,,,,任期満了,78.77,,,,ニセコ町議会議員選挙（2015年04月26日投票）,1.0,11.0,10.0,1.1,0.0,0.0,0.0,0.09090909090909091,0.1,0.5454545454545454,0.45454545454545453,0.0,0.6,0.4,0.0,0.6294701986754967,0.3705298013245033,,0.10491169977924945,0.07410596026490066,,3020.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.0,,,,,2726.0,,,,,,,,3020.0,,,,,,,,,,,,,,,,,,0.09735099337748344,,,,,0.9026490066225166,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.09735099337748344,,,,,0.09026490066225165,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,9.0,,,,,,,
