,都道府県名,都道府県番号
0,北海道,1
1,宮城県,4
2,埼玉県,11
3,千葉県,12
4,神奈川県,14
5,神奈川県,14
6,神奈川県,14
7,新潟県,15
8,静岡県,22
9,静岡県,22
10,愛知県,23
11,京都府,26
12,大阪府,27
13,大阪府,27
14,兵庫県,28
15,岡山県,33
16,広島県,34
17,福岡県,40
18,福岡県,40
19,熊本県,43
20,北海道,1
21,北海道,1
22,北海道,1
23,北海道,1
24,北海道,1
25,北海道,1
26,北海道,1
27,北海道,1
28,北海道,1
29,北海道,1
30,北海道,1
31,北海道,1
32,北海道,1
33,北海道,1
34,北海道,1
35,北海道,1
36,北海道,1
37,北海道,1
38,北海道,1
39,北海道,1
40,北海道,1
41,北海道,1
42,北海道,1
43,北海道,1
44,北海道,1
45,北海道,1
46,北海道,1
47,北海道,1
48,北海道,1
49,北海道,1
50,北海道,1
51,北海道,1
52,北海道,1
53,北海道,1
54,北海道,1
55,北海道,1
56,北海道,1
57,北海道,1
58,北海道,1
59,北海道,1
60,北海道,1
61,北海道,1
62,北海道,1
63,北海道,1
64,北海道,1
65,北海道,1
66,北海道,1
67,北海道,1
68,北海道,1
69,北海道,1
70,北海道,1
71,北海道,1
72,北海道,1
73,北海道,1
74,北海道,1
75,北海道,1
76,北海道,1
77,北海道,1
78,北海道,1
79,北海道,1
80,北海道,1
81,北海道,1
82,北海道,1
83,北海道,1
84,北海道,1
85,北海道,1
86,北海道,1
87,北海道,1
88,北海道,1
89,北海道,1
90,北海道,1
91,北海道,1
92,北海道,1
93,北海道,1
94,北海道,1
95,北海道,1
96,北海道,1
97,北海道,1
98,北海道,1
99,北海道,1
100,北海道,1
101,北海道,1
102,北海道,1
103,北海道,1
104,北海道,1
105,北海道,1
106,北海道,1
107,北海道,1
108,北海道,1
109,北海道,1
110,北海道,1
111,北海道,1
112,北海道,1
113,北海道,1
114,北海道,1
115,北海道,1
116,北海道,1
117,北海道,1
118,北海道,1
119,北海道,1
120,北海道,1
121,北海道,1
122,北海道,1
123,北海道,1
124,北海道,1
125,北海道,1
126,北海道,1
127,北海道,1
128,北海道,1
129,北海道,1
130,北海道,1
131,北海道,1
132,北海道,1
133,北海道,1
134,北海道,1
135,北海道,1
136,北海道,1
137,北海道,1
138,北海道,1
139,北海道,1
140,北海道,1
141,北海道,1
142,北海道,1
143,北海道,1
144,北海道,1
145,北海道,1
146,北海道,1
147,北海道,1
148,北海道,1
149,北海道,1
150,北海道,1
151,北海道,1
152,北海道,1
153,北海道,1
154,北海道,1
155,北海道,1
156,北海道,1
157,北海道,1
158,北海道,1
159,北海道,1
160,北海道,1
161,北海道,1
162,北海道,1
163,北海道,1
164,北海道,1
165,北海道,1
166,北海道,1
167,北海道,1
168,北海道,1
169,北海道,1
170,北海道,1
171,北海道,1
172,北海道,1
173,北海道,1
174,北海道,1
175,北海道,1
176,北海道,1
177,北海道,1
178,北海道,1
179,北海道,1
180,北海道,1
181,北海道,1
182,北海道,1
183,北海道,1
184,北海道,1
185,北海道,1
186,北海道,1
187,北海道,1
188,北海道,1
189,北海道,1
190,北海道,1
191,北海道,1
192,北海道,1
193,北海道,1
194,北海道,1
195,北海道,1
196,北海道,1
197,北海道,1
198,青森県,2
199,青森県,2
200,青森県,2
201,青森県,2
202,青森県,2
203,青森県,2
204,青森県,2
205,青森県,2
206,青森県,2
207,青森県,2
208,青森県,2
209,青森県,2
210,青森県,2
211,青森県,2
212,青森県,2
213,青森県,2
214,青森県,2
215,青森県,2
216,青森県,2
217,青森県,2
218,青森県,2
219,青森県,2
220,青森県,2
221,青森県,2
222,青森県,2
223,青森県,2
224,青森県,2
225,青森県,2
226,青森県,2
227,青森県,2
228,青森県,2
229,青森県,2
230,青森県,2
231,青森県,2
232,青森県,2
233,青森県,2
234,青森県,2
235,青森県,2
236,青森県,2
237,青森県,2
238,岩手県,3
239,岩手県,3
240,岩手県,3
241,岩手県,3
242,岩手県,3
243,岩手県,3
244,岩手県,3
245,岩手県,3
246,岩手県,3
247,岩手県,3
248,岩手県,3
249,岩手県,3
250,岩手県,3
