,prefecture,municipality,keijyo_syusi_ratio,jissitsu_kousaihi_ratio,kisaiseigen_ratio,zaiseiryoku_index,laspeyres_index,year,syorai_hutan_ratio,muni_code,laspeyres_reference
0,北海道,札幌市,96.5,14,14.8,0.67,98.6,2005,,,
1,北海道,函館市,88.9,16.2,11.3,0.46,97.1,2005,,,
2,北海道,小樽市,99.1,19.2,15.9,0.47,89.5,2005,,,
3,北海道,旭川市,89.9,17.1,12.9,0.51,95.5,2005,,,
4,北海道,室蘭市,87.4,12.1,9.5,0.6,96.2,2005,,,
5,北海道,釧路市,95.1,16.4,11.4,0.48,99.6,2005,,,
6,北海道,帯広市,85.4,16.5,13.6,0.57,92.7,2005,,,
7,北海道,北見市,94.4,18.2,13.5,0.44,97.6,2005,,,
8,北海道,夕張市,125.6,28.6,26.8,0.23,89.1,2005,,,
9,北海道,岩見沢市,86.9,13.4,10.4,0.36,93.4,2005,,,
10,北海道,網走市,93.5,20.1,15.8,0.4,96.6,2005,,,
11,北海道,留萌市,98.1,23.2,17.6,0.37,88.6,2005,,,
12,北海道,苫小牧市,93.3,15.9,14.9,0.79,94.6,2005,,,
13,北海道,稚内市,91.1,18.6,12.5,0.38,94.2,2005,,,
14,北海道,美唄市,94.1,23.6,15.3,0.26,96.4,2005,,,
15,北海道,芦別市,99.1,16.7,11.9,0.27,92.8,2005,,,
16,北海道,江別市,88.5,17.9,13.8,0.5,96.6,2005,,,
17,北海道,赤平市,107.5,26.3,17.9,0.21,92.3,2005,,,
18,北海道,紋別市,88.8,23.2,15.8,0.33,92.5,2005,,,
19,北海道,士別市,94.2,16.6,9.6,0.27,97.5,2005,,,
20,北海道,名寄市,92.3,19,10.8,0.29,97.9,2005,,,
21,北海道,三笠市,104.3,26.3,21.5,0.2,96.6,2005,,,
22,北海道,根室市,92.2,20.7,15.8,0.31,89.4,2005,,,
23,北海道,千歳市,88.2,14.2,10.6,0.76,98.6,2005,,,
24,北海道,滝川市,97.8,17.9,14.2,0.38,94.3,2005,,,
25,北海道,砂川市,86.5,24.4,17.3,0.35,97.6,2005,,,
26,北海道,歌志内市,110.2,40.6,27.4,0.11,86.4,2005,,,
27,北海道,深川市,92.1,17.6,12.8,0.27,95.3,2005,,,
28,北海道,富良野市,93.2,13.1,9.2,0.33,90.4,2005,,,
29,北海道,登別市,95.2,15.7,14.3,0.47,91.5,2005,,,
30,北海道,恵庭市,88,16.7,11.7,0.61,98.7,2005,,,
31,北海道,伊達市,95.9,15.1,12.5,0.4,95.2,2005,,,
32,北海道,北広島市,90.9,16.8,12.6,0.65,97.3,2005,,,
33,北海道,石狩市,93.3,19.9,12.5,0.53,92.4,2005,,,
34,北海道,北斗市,83.6,13.5,9.4,0.46,95.7,2005,,,
35,北海道,当別町,93.6,21.8,15.9,0.36,97.8,2005,,,
36,北海道,新篠津村,84.7,16,12.7,0.18,97.9,2005,,,
37,北海道,松前町,92.7,16.3,12.8,0.21,86.1,2005,,,
38,北海道,福島町,97.7,15.4,12.6,0.25,90.6,2005,,,
39,北海道,知内町,91,27.1,15.8,0.35,93.7,2005,,,
40,北海道,木古内町,96.1,16.9,12,0.24,92.3,2005,,,
41,北海道,七飯町,87,14.6,10.1,0.44,95.0,2005,,,
42,北海道,鹿部町,88,12,9.6,0.29,89.3,2005,,,
43,北海道,森町,94.4,17.3,12,0.3,99.4,2005,,,
44,北海道,八雲町,90.7,16.6,8.2,0.27,97.0,2005,,,
45,北海道,長万部町,89.8,17.8,11,0.22,89.2,2005,,,
46,北海道,江差町,92.1,23.2,15.6,0.31,92.7,2005,,,
47,北海道,上ノ国町,84.3,15.4,11.6,0.17,91.8,2005,,,
48,北海道,厚沢部町,77.2,9.8,5.4,0.19,92.4,2005,,,
49,北海道,乙部町,81.4,14.7,10.6,0.16,91.9,2005,,,
50,北海道,奥尻町,90.1,24.2,17.7,0.15,86.4,2005,,,
51,北海道,今金町,82.8,15.7,10.1,0.2,96.6,2005,,,
52,北海道,せたな町,91.3,20.9,11.5,0.14,93.1,2005,,,
53,北海道,島牧村,95.1,14.8,9.5,0.11,94.5,2005,,,
54,北海道,寿都町,83.8,10.6,2.7,0.16,96.6,2005,,,
55,北海道,黒松内町,87.6,10,7.5,0.16,97.1,2005,,,
56,北海道,蘭越町,84.1,16.3,10.8,0.19,89.6,2005,,,
57,北海道,ニセコ町,87.6,16.3,10.9,0.26,98.6,2005,,,
58,北海道,真狩村,91.3,15.9,9,0.15,92.4,2005,,,
59,北海道,留寿都村,86.1,10.3,7.7,0.31,100.4,2005,,,
60,北海道,喜茂別町,88.2,16.5,6.9,0.2,94.3,2005,,,
61,北海道,京極町,85.9,16.7,8.7,0.22,93.1,2005,,,
62,北海道,倶知安町,85.8,23.3,14.2,0.4,97.2,2005,,,
63,北海道,共和町,86.8,12.8,11.6,0.27,95.4,2005,,,
64,北海道,岩内町,100.2,20.6,18.5,0.35,90.0,2005,,,
65,北海道,泊村,66.1,12.4,6.9,1.56,98.6,2005,,,
66,北海道,神恵内村,96.8,23.7,17,0.11,92.1,2005,,,
67,北海道,積丹町,96.8,5.6,0.6,0.11,97.6,2005,,,
68,北海道,古平町,96.2,15.3,10.4,0.21,97.2,2005,,,
69,北海道,仁木町,90.2,16.4,13.6,0.16,97.9,2005,,,
70,北海道,余市町,96.7,18.1,9.5,0.34,97.5,2005,,,
71,北海道,赤井川村,91.1,12.2,9.3,0.29,98.8,2005,,,
72,北海道,南幌町,88,20.2,12.2,0.23,93.3,2005,,,
73,北海道,奈井江町,90.7,17.6,10.1,0.24,89.0,2005,,,
74,北海道,上砂川町,108.5,36,24,0.12,86.4,2005,,,
75,北海道,由仁町,92.9,15.6,6.5,0.21,92.8,2005,,,
76,北海道,長沼町,86.3,21.6,10.4,0.24,93.4,2005,,,
77,北海道,栗山町,88.5,16.1,9.8,0.3,95.3,2005,,,
78,北海道,月形町,91.2,8.8,6.3,0.17,97.5,2005,,,
79,北海道,浦臼町,89.9,15.4,12.1,0.27,95.8,2005,,,
80,北海道,新十津川町,84.1,11.3,9.4,0.19,97.3,2005,,,
81,北海道,妹背牛町,89.7,18.9,12.3,0.18,94.1,2005,,,
82,北海道,秩父別町,89.7,11.6,8,0.16,96.2,2005,,,
83,北海道,雨竜町,89.5,14.8,12.7,0.15,97.3,2005,,,
84,北海道,北竜町,87.1,20.4,14.9,0.15,94.0,2005,,,
85,北海道,沼田町,88.2,11.8,5.8,0.16,95.2,2005,,,
86,北海道,幌加内町,89.2,1.7,-0.7,0.12,94.9,2005,,,
87,北海道,鷹栖町,87.2,16.5,9.7,0.29,96.5,2005,,,
88,北海道,東神楽町,89.1,19.4,13.9,0.34,95.0,2005,,,
89,北海道,当麻町,88.9,17.7,11.5,0.22,94.1,2005,,,
90,北海道,比布町,82.5,17.7,9.6,0.18,96.4,2005,,,
91,北海道,愛別町,84,23.3,9.7,0.15,94.1,2005,,,
92,北海道,上川町,81.6,14,10.1,0.24,98.8,2005,,,
93,北海道,東川町,81.9,13,9.1,0.3,95.9,2005,,,
94,北海道,美瑛町,82.4,20.4,13.6,0.21,97.0,2005,,,
95,北海道,上富良野町,90.7,15.7,13.2,0.29,98.3,2005,,,
96,北海道,中富良野町,82.6,13,9.6,0.2,97.6,2005,,,
97,北海道,南富良野町,83.5,12.6,7.5,0.14,93.4,2005,,,
98,北海道,占冠村,97,11.8,8,0.3,99.0,2005,,,
99,北海道,和寒町,82.1,9.5,5.7,0.17,97.8,2005,,,
100,北海道,剣淵町,89.2,17.6,9.9,0.15,98.7,2005,,,
101,北海道,下川町,80.2,18.8,11.9,0.16,99.1,2005,,,
102,北海道,美深町,81.4,18.4,14,0.17,95.3,2005,,,
103,北海道,音威子府村,87.4,17.2,12.9,0.12,90.1,2005,,,
104,北海道,中川町,83.1,13.8,10.6,0.15,91.8,2005,,,
105,北海道,増毛町,90.5,20.9,18.6,0.16,89.9,2005,,,
106,北海道,小平町,85.9,13.3,9.4,0.13,92.3,2005,,,
107,北海道,苫前町,92.5,20.3,17.4,0.17,93.1,2005,,,
108,北海道,羽幌町,89.6,12.5,9,0.21,94.9,2005,,,
109,北海道,初山別村,88.3,16.9,13.5,0.11,96.0,2005,,,
110,北海道,遠別町,83.5,12,8.3,0.15,95.9,2005,,,
111,北海道,天塩町,93.3,16.7,10.9,0.17,95.7,2005,,,
112,北海道,幌延町,81.9,10.9,8,0.21,94.8,2005,,,
113,北海道,猿払村,85.6,20.3,13.9,0.2,97.3,2005,,,
114,北海道,浜頓別町,89.2,27.7,15.4,0.2,92.4,2005,,,
115,北海道,中頓別町,85.6,26,15.6,0.12,95.0,2005,,,
116,北海道,枝幸町,86.4,16.1,11.3,0.18,92.4,2005,,,
117,北海道,豊富町,81.4,16.6,8.2,0.19,96.1,2005,,,
118,北海道,礼文町,83.2,26.9,18.2,0.12,97.2,2005,,,
119,北海道,利尻町,96.2,24,16.3,0.1,88.1,2005,,,
120,北海道,利尻富士町,83.9,18.3,11.9,0.14,90.5,2005,,,
121,北海道,美幌町,88.4,23.3,15.4,0.35,97.3,2005,,,
122,北海道,津別町,86.9,16.8,11.9,0.19,93.6,2005,,,
123,北海道,斜里町,84,13.8,10.2,0.33,94.4,2005,,,
124,北海道,清里町,81.6,8.8,5,0.2,95.8,2005,,,
125,北海道,小清水町,85.6,11.1,8.3,0.22,96.6,2005,,,
126,北海道,訓子府町,86.9,16.9,13.3,0.23,98.9,2005,,,
127,北海道,置戸町,88.9,15.2,9.8,0.16,99.5,2005,,,
128,北海道,佐呂間町,83,13,11.7,0.21,97.6,2005,,,
129,北海道,遠軽町,92.3,20,14.3,0.25,98.2,2005,,,
130,北海道,上湧別町,87.5,13,9.6,0.22,96.1,2005,,,
131,北海道,湧別町,78.2,12.4,8.5,0.2,95.4,2005,,,
132,北海道,滝上町,84.6,22.8,10.8,0.13,97.0,2005,,,
133,北海道,興部町,81.4,23.8,16,0.19,98.5,2005,,,
134,北海道,西興部村,92.8,19.8,16.6,0.09,98.7,2005,,,
135,北海道,雄武町,77.5,15.3,8.5,0.18,97.0,2005,,,
136,北海道,大空町,86.8,22.7,15,0.26,97.0,2005,,,
137,北海道,豊浦町,82.8,16,4.8,0.18,93.1,2005,,,
138,北海道,壮瞥町,92.9,14.8,9.4,0.26,94.5,2005,,,
139,北海道,白老町,98.7,12.3,9.8,0.4,95.2,2005,,,
140,北海道,厚真町,92.8,17.6,16.1,0.81,95.6,2005,,,
141,北海道,洞爺湖町,95.7,28.2,16,0.31,98.5,2005,,,
142,北海道,安平町,93.2,15.9,8.4,0.5,95.6,2005,,,
143,北海道,むかわ町,89.8,14,11.6,0.21,97.2,2005,,,
144,北海道,日高町,95.9,21.4,14.5,0.28,94.5,2005,,,
145,北海道,平取町,97.6,19.9,16.6,0.18,96.8,2005,,,
146,北海道,新冠町,89.1,17.1,11,0.21,95.4,2005,,,
147,北海道,浦河町,88,21.4,15.7,0.31,94.1,2005,,,
148,北海道,様似町,93.1,23.8,18.4,0.19,95.0,2005,,,
149,北海道,えりも町,88.2,13.3,11.9,0.17,94.6,2005,,,
150,北海道,新ひだか町,98.3,21.5,14.8,0.35,96.0,2005,,,
151,北海道,音更町,86,19.4,13.8,0.44,98.1,2005,,,
152,北海道,士幌町,84.9,12.3,6.2,0.25,94.3,2005,,,
153,北海道,上士幌町,79.9,11.4,6.2,0.24,95.4,2005,,,
154,北海道,鹿追町,72.1,9,3.8,0.27,97.1,2005,,,
155,北海道,新得町,74.8,8.6,5.6,0.29,95.0,2005,,,
156,北海道,清水町,92.1,18.9,14.3,0.29,95.9,2005,,,
157,北海道,芽室町,81.6,15.3,7.8,0.41,97.1,2005,,,
158,北海道,中札内村,77.5,6.1,1,0.29,97.4,2005,,,
159,北海道,更別村,83.5,10.8,6.8,0.23,94.5,2005,,,
160,北海道,大樹町,89.8,17.3,8.5,0.22,94.5,2005,,,
161,北海道,広尾町,77.8,23.7,8.5,0.19,92.2,2005,,,
162,北海道,幕別町,89.6,21.5,13.6,0.3,95.7,2005,,,
163,北海道,池田町,89.9,18.6,9.9,0.24,91.2,2005,,,
164,北海道,豊頃町,88.6,16.7,9,0.2,96.5,2005,,,
165,北海道,本別町,88.1,20.2,10.9,0.27,92.7,2005,,,
166,北海道,足寄町,80,18.3,10.8,0.21,97.8,2005,,,
167,北海道,陸別町,83,13,4.8,0.17,90.1,2005,,,
168,北海道,浦幌町,90.3,20.2,15.6,0.18,90.6,2005,,,
169,北海道,釧路町,88.9,19.2,9.7,0.43,98.8,2005,,,
170,北海道,厚岸町,89.7,19.5,15,0.24,87.5,2005,,,
171,北海道,浜中町,87.3,23.2,11.5,0.18,90.0,2005,,,
172,北海道,標茶町,89.5,18.4,11.7,0.21,98.3,2005,,,
173,北海道,弟子屈町,84.6,21.4,13.7,0.27,91.2,2005,,,
174,北海道,鶴居村,78.8,13.8,12.8,0.21,99.1,2005,,,
175,北海道,白糠町,90.2,14.5,12.2,0.3,89.3,2005,,,
176,北海道,別海町,86.9,16.9,13.3,0.28,95.8,2005,,,
177,北海道,中標津町,83.5,16.4,6.6,0.34,90.5,2005,,,
178,北海道,標津町,79.9,23.3,13.6,0.22,94.4,2005,,,
179,北海道,羅臼町,89.4,14.8,11.4,0.29,88.0,2005,,,
180,青森県,青森市,88.7,16.5,12.6,0.6,100.1,2005,,,
181,青森県,弘前市,94.3,17.4,13.5,0.49,98.2,2005,,,
182,青森県,八戸市,89.5,17.7,11.1,0.63,99.0,2005,,,
183,青森県,黒石市,100.1,21.1,13.6,0.32,89.0,2005,,,
184,青森県,五所川原市,89.4,17,13.9,0.35,94.9,2005,,,
185,青森県,十和田市,90.2,17.2,11.3,0.42,95.0,2005,,,
186,青森県,三沢市,91.8,20.3,14.2,0.48,94.5,2005,,,
187,青森県,むつ市,97.4,21.7,14.2,0.39,94.3,2005,,,
188,青森県,つがる市,93.7,15.4,11.6,0.23,93.0,2005,,,
189,青森県,平川市,95.7,18.1,11.1,0.26,93.2,2005,,,
190,青森県,平内町,89.8,17,11.7,0.25,95.6,2005,,,
191,青森県,今別町,102.9,17.6,12.5,0.18,90.8,2005,,,
192,青森県,蓬田村,101.5,19.2,14.1,0.18,92.5,2005,,,
193,青森県,外ヶ浜町,99.7,22.2,16.4,0.18,92.1,2005,,,
194,青森県,鰺ケ沢町,98.7,20.7,12.7,0.18,90.3,2005,,,
195,青森県,深浦町,99.5,26.2,19.4,0.16,90.9,2005,,,
196,青森県,西目屋村,100.9,24,16.9,0.11,91.7,2005,,,
197,青森県,藤崎町,91.7,18.2,11.3,0.27,95.7,2005,,,
198,青森県,大鰐町,90.8,20.5,14,0.26,86.7,2005,,,
199,青森県,田舎館村,94.7,25.7,15.3,0.26,93.4,2005,,,
200,青森県,板柳町,89.6,16.5,12,0.27,91.6,2005,,,
201,青森県,鶴田町,95.8,18.8,12.9,0.25,93.5,2005,,,
202,青森県,中泊町,96.2,15.5,13.2,0.2,90.9,2005,,,
203,青森県,野辺地町,95.5,15.4,8,0.4,91.7,2005,,,
204,青森県,七戸町,100,13.8,9.2,0.25,96.7,2005,,,
205,青森県,六戸町,79.3,9.3,4.9,0.33,96.4,2005,,,
206,青森県,横浜町,99.2,15.1,9.2,0.26,92.4,2005,,,
207,青森県,東北町,94.2,12.8,9.8,0.29,97.0,2005,,,
208,青森県,六ケ所村,58.1,4.8,2.2,2.03,92.4,2005,,,
209,青森県,おいらせ町,89.7,17.6,11.5,0.43,95.9,2005,,,
210,青森県,大間町,88.9,14.9,13.1,0.23,95.6,2005,,,
211,青森県,東通村,81.5,24.6,12.7,0.27,91.6,2005,,,
212,青森県,風間浦村,93.4,18.8,16.7,0.12,94.1,2005,,,
213,青森県,佐井村,94.9,22.5,15,0.11,91.5,2005,,,
214,青森県,三戸町,88.9,19.9,12.6,0.27,89.8,2005,,,
215,青森県,五戸町,96.2,19.6,14.2,0.27,87.8,2005,,,
216,青森県,田子町,91,23.4,17.9,0.19,92.1,2005,,,
217,青森県,南部町,94,19.1,14.5,0.26,90.6,2005,,,
218,青森県,階上町,91.4,16,12.4,0.33,94.8,2005,,,
219,青森県,新郷村,95.4,19,16.7,0.14,83.7,2005,,,
220,岩手県,盛岡市,90.4,17.3,13.9,0.71,95.9,2005,,,
221,岩手県,宮古市,93,17.1,10.6,0.38,93.3,2005,,,
222,岩手県,大船渡市,90.6,15.6,11.9,0.43,96.3,2005,,,
223,岩手県,花巻市,89.2,17.7,13.5,0.42,94.3,2005,,,
224,岩手県,北上市,89.5,15.8,12.4,0.65,97.3,2005,,,
225,岩手県,久慈市,88.7,17.2,11,0.36,92.8,2005,,,
226,岩手県,遠野市,86.3,17.8,10.8,0.25,95.2,2005,,,
227,岩手県,一関市,91.9,17.3,11.1,0.37,94.6,2005,,,
228,岩手県,陸前高田市,88.1,17.4,13.6,0.28,90.9,2005,,,
229,岩手県,釜石市,90.3,14.2,10.2,0.47,93.9,2005,,,
230,岩手県,二戸市,92.2,13.5,10.8,0.34,93.8,2005,,,
231,岩手県,八幡平市,91.8,17.9,11.9,0.32,92.1,2005,,,
232,岩手県,奥州市,89.6,19.2,10.5,0.37,96.1,2005,,,
233,岩手県,雫石町,85.7,18.7,11.7,0.4,91.2,2005,,,
234,岩手県,葛巻町,92.9,17.4,15,0.17,90.4,2005,,,
235,岩手県,岩手町,89.4,14.8,10.9,0.31,92.0,2005,,,
236,岩手県,滝沢村,87.5,10.2,9.2,0.58,97.1,2005,,,
237,岩手県,紫波町,85.6,20.3,9.9,0.41,93.5,2005,,,
238,岩手県,矢巾町,86.2,20,12.6,0.56,93.2,2005,,,
239,岩手県,西和賀町,93.5,18.5,11.4,0.16,91.7,2005,,,
240,岩手県,金ケ崎町,85,19.7,10.6,0.53,96.3,2005,,,
241,岩手県,平泉町,90.3,20.7,11.1,0.34,98.5,2005,,,
242,岩手県,藤沢町,84.6,25.9,13.1,0.21,90.3,2005,,,
243,岩手県,住田町,88.1,12.5,10.7,0.18,91.8,2005,,,
244,岩手県,大槌町,85.8,15.3,11.5,0.3,91.9,2005,,,
245,岩手県,山田町,85.7,17.8,13,0.27,94.1,2005,,,
246,岩手県,岩泉町,85.3,15.1,11,0.15,91.5,2005,,,
247,岩手県,田野畑村,85.2,13.5,11.7,0.15,88.1,2005,,,
248,岩手県,普代村,96.4,23.6,16.3,0.15,85.1,2005,,,
249,岩手県,川井村,89.2,16.5,11.4,0.12,93.6,2005,,,
250,岩手県,軽米町,94.1,12.2,6.9,0.21,87.0,2005,,,
251,岩手県,野田村,87,18.9,12.3,0.17,92.3,2005,,,
252,岩手県,九戸村,87.4,18.7,14.8,0.18,93.1,2005,,,
253,岩手県,洋野町,89,15.3,9.8,0.21,90.6,2005,,,
254,岩手県,一戸町,95.4,14.6,12.1,0.3,94.2,2005,,,
255,宮城県,仙台市,95.9,18.9,19,0.81,101.7,2005,,,
256,宮城県,石巻市,98.5,16.5,10.9,0.46,91.8,2005,,,
257,宮城県,塩竈市,96.6,16.7,12.3,0.54,96.1,2005,,,
258,宮城県,気仙沼市,94.9,15.7,9.3,0.44,96.3,2005,,,
259,宮城県,白石市,85.4,8.3,2.5,0.43,95.8,2005,,,
260,宮城県,名取市,88.8,12.8,11,0.68,95.7,2005,,,
261,宮城県,角田市,90.7,18.6,9.4,0.48,94.2,2005,,,
262,宮城県,多賀城市,100.3,17.7,10.2,0.69,93.4,2005,,,
263,宮城県,岩沼市,89.8,14.2,8.4,0.78,95.0,2005,,,
264,宮城県,登米市,87.6,13.3,9,0.33,91.7,2005,,,
265,宮城県,栗原市,89.2,17.5,10.8,0.31,96.6,2005,,,
266,宮城県,東松島市,79.5,16.3,10.5,0.42,93.2,2005,,,
267,宮城県,大崎市,91.8,19.8,10.4,0.45,95.8,2005,,,
268,宮城県,蔵王町,92.9,17.2,12.8,0.54,92.8,2005,,,
269,宮城県,七ケ宿町,91.3,13.2,7.2,0.41,93.7,2005,,,
270,宮城県,大河原町,95.4,20.7,8.1,0.54,94.0,2005,,,
271,宮城県,村田町,86,23.1,12.3,0.42,91.0,2005,,,
272,宮城県,柴田町,91,21.4,9.5,0.61,92.4,2005,,,
273,宮城県,川崎町,84.6,12.4,6.9,0.33,91.3,2005,,,
274,宮城県,丸森町,89.2,16.5,4.9,0.3,92.2,2005,,,
275,宮城県,亘理町,86.4,12.4,6.4,0.56,90.0,2005,,,
276,宮城県,山元町,89.2,14.9,7.6,0.41,90.1,2005,,,
277,宮城県,松島町,83.6,17.8,10.8,0.48,90.8,2005,,,
278,宮城県,七ケ浜町,91.5,13.2,6.3,0.52,93.4,2005,,,
279,宮城県,利府町,92.6,9.5,10.7,0.8,95.9,2005,,,
280,宮城県,大和町,85.2,16.3,7,0.61,91.3,2005,,,
281,宮城県,大郷町,91.8,13.7,7.3,0.41,85.8,2005,,,
282,宮城県,富谷町,98.4,9.4,8.3,0.84,92.5,2005,,,
283,宮城県,大衡村,84,15,8.5,0.6,89.7,2005,,,
284,宮城県,色麻町,79.9,17.8,8.2,0.3,87.7,2005,,,
285,宮城県,加美町,93.1,20.6,14.7,0.32,87.0,2005,,,
286,宮城県,涌谷町,92.6,14.5,10.5,0.34,89.4,2005,,,
287,宮城県,美里町,89.6,16.2,6.9,0.4,92.8,2005,,,
288,宮城県,女川町,52.4,2.8,1.1,2.1,89.8,2005,,,
289,宮城県,本吉町,93.7,12.4,7.6,0.26,94.2,2005,,,
290,宮城県,南三陸町,91.7,11.7,8.4,0.27,92.1,2005,,,
291,秋田県,秋田市,84.2,15,11.6,0.63,99.8,2005,,,
292,秋田県,能代市,95,17.9,12.2,0.49,95.1,2005,,,
293,秋田県,横手市,95.2,19.1,15.8,0.33,94.3,2005,,,
294,秋田県,大館市,96.8,16.5,11.8,0.42,96.7,2005,,,
295,秋田県,男鹿市,92.7,14.6,8.7,0.39,89.5,2005,,,
296,秋田県,湯沢市,93.9,15.1,7.8,0.34,90.8,2005,,,
297,秋田県,鹿角市,95,12.6,9.9,0.35,92.8,2005,,,
298,秋田県,由利本荘市,95.6,15.9,10.3,0.32,92.2,2005,,,
299,秋田県,潟上市,91.2,19.6,12.5,0.33,86.4,2005,,,
300,秋田県,大仙市,94.2,17,10.5,0.33,91.1,2005,,,
301,秋田県,北秋田市,97.3,16.2,10.3,0.27,92.5,2005,,,
302,秋田県,にかほ市,89.7,13.5,11.6,0.39,91.4,2005,,,
303,秋田県,仙北市,95.3,19.4,13.9,0.29,87.8,2005,,,
304,秋田県,小坂町,94.5,18,13.2,0.3,89.6,2005,,,
305,秋田県,上小阿仁村,94.5,11.9,9.1,0.13,90.5,2005,,,
306,秋田県,藤里町,94.5,17.6,14.5,0.15,89.6,2005,,,
307,秋田県,三種町,97.8,20.3,11.8,0.25,89.8,2005,,,
308,秋田県,八峰町,93.2,17.6,13.1,0.18,94.2,2005,,,
309,秋田県,五城目町,93.2,14.2,11.1,0.27,83.6,2005,,,
310,秋田県,八郎潟町,94.7,24.2,16,0.3,83.3,2005,,,
311,秋田県,井川町,88.4,11,7.4,0.26,84.6,2005,,,
312,秋田県,大潟村,99.8,14.6,11.5,0.44,89.0,2005,,,
313,秋田県,美郷町,96.1,16.1,12.4,0.25,91.0,2005,,,
314,秋田県,羽後町,87.7,12.4,7.2,0.26,92.5,2005,,,
315,秋田県,東成瀬村,96.6,8.7,5.8,0.11,89.4,2005,,,
316,山形県,山形市,87.3,16.1,13.5,0.75,100.9,2005,,,
317,山形県,米沢市,94.6,20.8,12.7,0.54,96.8,2005,,,
318,山形県,鶴岡市,95.8,17.9,12.7,0.41,94.7,2005,,,
319,山形県,酒田市,91,15.8,11.5,0.5,95.1,2005,,,
320,山形県,新庄市,99.5,29.9,16.4,0.49,96.4,2005,,,
321,山形県,寒河江市,96.4,21.8,13.2,0.52,96.0,2005,,,
322,山形県,上山市,92.8,18.6,14.7,0.47,89.6,2005,,,
323,山形県,村山市,88.6,20.9,11.9,0.35,96.8,2005,,,
324,山形県,長井市,96.5,27.7,16,0.45,91.3,2005,,,
325,山形県,天童市,90.5,12.9,8.7,0.65,97.3,2005,,,
326,山形県,東根市,84.7,19,12.8,0.55,97.9,2005,,,
327,山形県,尾花沢市,96.8,16.4,6.1,0.28,92.7,2005,,,
328,山形県,南陽市,89.9,22.3,13,0.42,96.9,2005,,,
329,山形県,山辺町,91.8,14.8,12.7,0.39,94.0,2005,,,
330,山形県,中山町,91.5,18.4,13.7,0.38,91.6,2005,,,
331,山形県,河北町,93.7,17,8.3,0.44,96.5,2005,,,
332,山形県,西川町,93.1,18.1,13,0.3,94.3,2005,,,
333,山形県,朝日町,92.9,15,11.2,0.22,95.2,2005,,,
334,山形県,大江町,92.5,19,13.4,0.25,94.3,2005,,,
335,山形県,大石田町,97.3,18,12.7,0.26,96.9,2005,,,
336,山形県,金山町,89,23,14.6,0.22,93.5,2005,,,
337,山形県,最上町,92.9,14.3,8.1,0.24,92.8,2005,,,
338,山形県,舟形町,89.6,14.3,10.1,0.22,94.7,2005,,,
339,山形県,真室川町,88.4,16.1,8.9,0.21,91.1,2005,,,
340,山形県,大蔵村,89.8,11.7,6.6,0.14,95.6,2005,,,
341,山形県,鮭川村,93.7,15.5,12.6,0.19,95.7,2005,,,
342,山形県,戸沢村,89.9,11.4,6.5,0.18,96.9,2005,,,
343,山形県,高畠町,94.4,21.2,13.6,0.37,91.2,2005,,,
344,山形県,川西町,91.6,22,12.6,0.23,94.2,2005,,,
345,山形県,小国町,91.4,15.9,11.4,0.28,91.4,2005,,,
346,山形県,白鷹町,91.8,22.7,14.7,0.25,93.3,2005,,,
347,山形県,飯豊町,90.6,18.4,13.1,0.21,93.2,2005,,,
348,山形県,三川町,89.7,16.4,13.1,0.34,91.7,2005,,,
349,山形県,庄内町,92.7,16.9,13.8,0.32,93.8,2005,,,
350,山形県,遊佐町,85,14,9.1,0.28,91.7,2005,,,
351,福島県,福島市,83.9,12.2,11.1,0.74,100.9,2005,,,
352,福島県,会津若松市,86.8,18.7,14.3,0.65,93.1,2005,,,
353,福島県,郡山市,84.1,14.7,9.7,0.72,99.6,2005,,,
354,福島県,いわき市,83.8,12.9,10.4,0.66,98.8,2005,,,
355,福島県,白河市,90.6,22.4,14.3,0.52,95.4,2005,,,
356,福島県,須賀川市,84.8,14,9.7,0.55,99.0,2005,,,
357,福島県,喜多方市,87.8,21.1,11,0.36,97.3,2005,,,
358,福島県,相馬市,90.7,16.9,8.5,0.5,94.8,2005,,,
359,福島県,二本松市,91,16.4,9.1,0.42,97.8,2005,,,
360,福島県,田村市,91.5,13.6,11.2,0.31,89.0,2005,,,
361,福島県,南相馬市,87.1,15.8,9.1,0.67,95.2,2005,,,
362,福島県,伊達市,92,15.6,11.2,0.4,100.6,2005,,,
363,福島県,桑折町,87.3,10.4,7.3,0.5,100.2,2005,,,
364,福島県,国見町,84.3,13.1,5,0.35,99.8,2005,,,
365,福島県,川俣町,87.8,16.5,10.3,0.36,97.9,2005,,,
366,福島県,飯野町,85.9,13.7,11.8,0.32,98.6,2005,,,
367,福島県,大玉村,78.2,16.1,9.5,0.35,96.0,2005,,,
368,福島県,本宮町,89.3,21.3,9.1,0.76,94.3,2005,,,
369,福島県,白沢村,89.9,19.6,11.9,0.37,98.4,2005,,,
370,福島県,鏡石町,83.4,22.7,14.1,0.54,95.0,2005,,,
371,福島県,天栄村,81,12.6,4.8,0.3,95.6,2005,,,
372,福島県,下郷町,89.4,11.8,10.7,0.45,91.8,2005,,,
373,福島県,檜枝岐村,71.7,7.3,6.9,0.45,92.0,2005,,,
374,福島県,只見町,83.3,13.3,8.6,0.32,90.6,2005,,,
375,福島県,南会津町,98.6,17.1,10.5,0.23,93.7,2005,,,
376,福島県,北塩原村,88.1,14.3,9.8,0.29,88.0,2005,,,
