,time_pm,jyorei_nendo,市町村名
0,三重県いなべ市,2013.0,1
1,三重県伊賀市,2013.0,4
2,三重県名張市,2013.0,2
3,三重県四日市市,2012.0,1
4,三重県菰野町,2012.0,1
5,京都府与謝野町,2013.0,1
6,京都府亀岡市,2012.0,1
7,京都府京都市,2012.0,1
8,京都府京都市,2013.0,1
9,京都府宇治市,2012.0,2
10,佐賀県多久市,2012.0,1
11,佐賀県有田町,2013.0,1
12,佐賀県鹿島市,2013.0,1
13,兵庫県三木市,2013.0,1
14,兵庫県上郡町,2013.0,1
15,兵庫県丹波市,2012.0,1
16,兵庫県伊丹市,2013.0,1
17,兵庫県加東市,2013.0,1
18,兵庫県姫路市,2013.0,1
19,兵庫県宍粟市,2013.0,1
20,兵庫県尼崎市,2012.0,2
21,兵庫県新温泉町,2013.0,1
22,兵庫県明石市,2012.0,1
23,兵庫県明石市,2013.0,1
24,兵庫県神戸市,2012.0,1
25,兵庫県神戸市,2013.0,1
26,兵庫県香美町,2013.0,2
27,北海道北広島市,2013.0,1
28,北海道増毛町,2013.0,1
29,北海道富良野市,2013.0,1
30,北海道旭川市,2013.0,1
31,北海道登別市,2013.0,1
32,北海道羽幌町,2013.0,1
33,北海道芦別市,2013.0,1
34,千葉県千葉市,2012.0,1
35,千葉県印西市,2012.0,1
36,千葉県四街道市,2013.0,1
37,千葉県柏市,2013.0,1
38,千葉県鎌ケ谷市,2012.0,1
39,和歌山県和歌山市,2012.0,1
40,和歌山県日高川町,2012.0,1
41,和歌山県海南市,2013.0,1
42,和歌山県田辺市,2013.0,1
43,埼玉県さいたま市,2012.0,5
44,埼玉県さいたま市,2013.0,2
45,埼玉県上尾市,2012.0,1
46,埼玉県吉川市,2012.0,1
47,埼玉県小鹿野町,2013.0,1
48,埼玉県戸田市,2012.0,1
49,埼玉県戸田市,2013.0,1
50,埼玉県所沢市,2013.0,1
51,埼玉県熊谷市,2013.0,1
52,埼玉県秩父市,2013.0,1
53,埼玉県鴻巣市,2013.0,1
54,大分県佐伯市,2012.0,1
55,大分県大分市,2012.0,1
56,大分県日出町,2013.0,1
57,大阪府千早赤阪村,2013.0,1
58,大阪府吹田市,2013.0,1
59,大阪府堺市,2012.0,1
60,大阪府大東市,2012.0,1
61,大阪府羽曳野市,2013.0,1
62,奈良県吉野町,2013.0,1
63,奈良県奈良市,2012.0,2
64,奈良県奈良市,2013.0,2
65,宮城県仙台市,2013.0,1
66,宮城県白石市,2013.0,1
67,宮崎県宮崎市,2013.0,1
68,宮崎県日南市,2012.0,1
69,宮崎県日南市,2013.0,1
70,宮崎県都農町,2013.0,1
71,山口県周防大島町,2012.0,1
72,山口県山口市,2012.0,1
73,山口県岩国市,2013.0,1
74,山口県萩市,2012.0,1
75,山形県上山市,2013.0,1
76,山形県天童市,2013.0,1
77,山形県寒河江市,2013.0,1
78,山形県山形市,2013.0,1
79,山形県川西町,2013.0,1
80,山形県村山市,2012.0,1
81,山形県河北町,2013.0,1
82,岐阜県北方町,2013.0,1
83,岐阜県多治見市,2012.0,1
84,岡山県倉敷市,2012.0,1
85,岡山県岡山市,2012.0,1
86,岡山県浅口市,2013.0,1
87,岡山県瀬戸内市,2012.0,1
88,岡山県真庭市,2013.0,1
89,岡山県赤磐市,2013.0,1
90,岡山県高梁市,2013.0,1
91,岩手県盛岡市,2013.0,1
92,島根県津和野町,2013.0,1
93,島根県浜田市,2013.0,1
94,島根県邑南町,2013.0,1
95,島根県隠岐の島町,2013.0,1
96,広島県北広島町,2013.0,1
97,広島県呉市,2013.0,1
98,広島県東広島市,2013.0,1
99,広島県海田町,2013.0,1
100,徳島県つるぎ町,2012.0,1
101,徳島県三好市,2013.0,1
102,愛媛県松山市,2012.0,1
103,愛知県半田市,2013.0,1
104,愛知県南知多町,2013.0,1
105,愛知県名古屋市,2012.0,2
106,愛知県名古屋市,2013.0,1
107,愛知県岡崎市,2012.0,1
108,愛知県常滑市,2013.0,1
109,愛知県豊田市,2013.0,1
110,新潟県上越市,2013.0,1
111,新潟県南魚沼市,2013.0,1
112,新潟県柏崎市,2012.0,1
113,新潟県長岡市,2013.0,1
114,東京都中野区,2012.0,1
115,東京都小金井市,2012.0,2
116,東京都小金井市,2013.0,1
117,東京都新島村,2013.0,1
118,東京都日野市,2012.0,1
119,栃木県大田原市,2013.0,1
120,栃木県矢板市,2013.0,1
121,栃木県鹿沼市,2012.0,1
122,滋賀県大津市,2012.0,1
123,滋賀県豊郷町,2013.0,1
124,滋賀県近江八幡市,2012.0,1
125,滋賀県野洲市,2012.0,1
126,熊本県多良木町,2013.0,1
127,熊本県氷川町,2012.0,1
128,熊本県熊本市,2012.0,1
129,石川県加賀市,2012.0,2
130,石川県金沢市,2013.0,1
131,神奈川県大和市,2012.0,1
132,神奈川県小田原市,2012.0,1
133,神奈川県川崎市,2012.0,1
134,神奈川県川崎市,2013.0,1
135,神奈川県横浜市,2012.0,2
136,神奈川県横浜市,2013.0,3
137,神奈川県横須賀市,2012.0,1
138,神奈川県横須賀市,2013.0,1
139,神奈川県相模原市,2012.0,1
140,神奈川県相模原市,2013.0,2
141,神奈川県葉山町,2012.0,1
142,神奈川県逗子市,2012.0,1
143,神奈川県逗子市,2013.0,3
144,神奈川県鎌倉市,2012.0,1
145,福井県大野市,2012.0,1
146,福岡県北九州市,2013.0,1
147,福岡県古賀市,2013.0,1
148,福岡県嘉麻市,2012.0,1
149,福岡県福岡市,2013.0,1
150,福岡県篠栗町,2012.0,1
151,福島県南会津町,2013.0,2
152,福島県天栄村,2013.0,1
153,福島県西郷村,2012.0,1
154,福島県西郷村,2013.0,3
155,福島県金山町,2012.0,2
156,秋田県大館市,2013.0,1
157,秋田県横手市,2012.0,1
158,秋田県秋田市,2013.0,1
159,群馬県みなかみ町,2012.0,1
160,群馬県邑楽町,2013.0,1
161,茨城県常総市,2012.0,1
162,茨城県日立市,2012.0,1
163,茨城県水戸市,2013.0,1
164,茨城県石岡市,2013.0,1
165,茨城県笠間市,2013.0,1
166,長野県信濃町,2012.0,1
167,長野県安曇野市,2013.0,1
168,長野県宮田村,2013.0,1
169,長野県軽井沢町,2012.0,1
170,長野県飯田市,2012.0,1
171,青森県青森市,2012.0,1
172,香川県善通寺市,2013.0,1
173,香川県琴平町,2013.0,1
174,高知県土佐清水市,2012.0,1
175,高知県大豊町,2013.0,1
176,鳥取県八頭町,2012.0,1
177,鳥取県鳥取市,2013.0,1
178,鹿児島県南大隅町,2012.0,1
179,鹿児島県喜界町,2013.0,1
180,鹿児島県奄美市,2013.0,1
181,三重県南伊勢町,2014.0,1
182,三重県名張市,2015.0,1
183,三重県四日市市,2014.0,2
184,三重県四日市市,2015.0,1
185,三重県尾鷲市,2015.0,1
186,三重県菰野町,2014.0,1
187,京都府京都市,2015.0,1
188,京都府宮津市,2014.0,1
189,京都府舞鶴市,2015.0,1
190,佐賀県唐津市,2015.0,1
191,佐賀県嬉野市,2014.0,1
192,兵庫県宝塚市,2014.0,1
193,兵庫県神戸市,2014.0,2
194,兵庫県篠山市,2014.0,1
195,北海道伊達市,2015.0,1
196,北海道名寄市,2014.0,1
197,北海道小樽市,2014.0,1
198,北海道恵庭市,2014.0,1
199,北海道札幌市,2014.0,1
200,北海道江差町,2015.0,3
201,北海道砂川市,2015.0,1
202,北海道芽室町,2015.0,1
203,千葉県八千代市,2014.0,1
204,千葉県君津市,2014.0,1
205,千葉県四街道市,2014.0,1
206,千葉県市川市,2014.0,1
207,和歌山県みなべ町,2014.0,1
208,和歌山県和歌山市,2014.0,2
209,和歌山県岩出市,2014.0,1
210,和歌山県新宮市,2014.0,1
211,埼玉県さいたま市,2014.0,1
212,埼玉県さいたま市,2015.0,1
213,埼玉県入間市,2014.0,1
214,埼玉県川口市,2015.0,1
215,埼玉県桶川市,2015.0,1
216,埼玉県深谷市,2015.0,1
217,埼玉県熊谷市,2014.0,1
218,埼玉県秩父市,2015.0,1
219,埼玉県蓮田市,2014.0,1
220,埼玉県越谷市,2014.0,1
221,埼玉県鴻巣市,2014.0,1
222,埼玉県鶴ヶ島市,2014.0,1
223,大分県別府市,2014.0,1
224,大分県大分市,2015.0,1
225,大分県臼杵市,2015.0,1
226,大阪府和泉市,2015.0,1
227,大阪府堺市,2015.0,2
228,大阪府大阪市,2015.0,3
229,大阪府摂津市,2015.0,1
230,大阪府松原市,2015.0,1
231,大阪府河内長野市,2015.0,1
232,大阪府阪南市,2014.0,1
233,奈良県天理市,2014.0,1
234,奈良県御杖村,2015.0,1
235,奈良県桜井市,2015.0,1
236,宮城県仙台市,2015.0,1
237,宮城県加美町,2014.0,1
238,宮城県塩竈市,2015.0,1
239,宮城県多賀城市,2015.0,1
240,宮城県栗原市,2015.0,1
241,宮城県登米市,2014.0,1
242,宮城県白石市,2015.0,1
243,宮崎県川南町,2015.0,1
244,富山県富山市,2015.0,1
245,山口県周南市,2014.0,1
246,山口県周南市,2015.0,2
247,山口県防府市,2014.0,1
248,山形県米沢市,2014.0,1
249,山形県高畠町,2014.0,1
250,岐阜県可児市,2014.0,1
251,岐阜県多治見市,2014.0,1
252,岐阜県大垣市,2015.0,1
253,岐阜県瑞浪市,2014.0,2
254,岐阜県羽島市,2015.0,1
255,岐阜県郡上市,2014.0,1
256,岡山県倉敷市,2014.0,1
257,岡山県岡山市,2014.0,1
258,岩手県大船渡市,2014.0,1
259,島根県出雲市,2014.0,2
260,島根県大田市,2014.0,1
261,島根県奥出雲町,2015.0,1
262,島根県松江市,2014.0,1
263,島根県津和野町,2014.0,1
264,広島県三次市,2015.0,1
265,広島県海田町,2015.0,1
266,広島県福山市,2015.0,1
267,徳島県那賀町,2014.0,2
268,徳島県那賀町,2015.0,2
269,徳島県阿南市,2014.0,1
270,愛媛県四国中央市,2015.0,1
271,愛媛県松野町,2015.0,1
272,愛知県安城市,2014.0,1
273,愛知県小牧市,2015.0,1
274,愛知県扶桑町,2014.0,1
275,愛知県新城市,2014.0,1
276,愛知県新城市,2015.0,1
277,愛知県東浦町,2015.0,1
278,愛知県江南市,2014.0,1
279,愛知県豊橋市,2015.0,1
280,愛知県高浜市,2014.0,1
281,新潟県上越市,2014.0,2
282,新潟県新潟市,2014.0,1
283,新潟県田上町,2014.0,1
284,新潟県長岡市,2014.0,2
285,東京都千代田区,2014.0,1
286,東京都台東区,2014.0,1
287,東京都台東区,2015.0,1
288,東京都品川区,2015.0,1
289,東京都町田市,2014.0,1
290,東京都調布市,2014.0,1
291,東京都足立区,2014.0,1
292,栃木県佐野市,2014.0,1
293,沖縄県石垣市,2015.0,1
294,沖縄県竹富町,2015.0,2
295,沖縄県那覇市,2014.0,1
296,滋賀県大津市,2014.0,1
297,滋賀県大津市,2015.0,1
298,滋賀県彦根市,2015.0,1
299,滋賀県甲賀市,2014.0,1
300,滋賀県甲賀市,2015.0,1
301,熊本県あさぎり町,2014.0,2
302,熊本県山鹿市,2014.0,1
303,熊本県益城町,2015.0,1
304,熊本県相良村,2015.0,1
305,熊本県荒尾市,2015.0,1
306,石川県中能登町,2015.0,1
307,石川県加賀市,2015.0,1
308,石川県羽咋市,2014.0,1
309,石川県能登町,2014.0,1
310,神奈川県大磯町,2014.0,1
311,神奈川県小田原市,2014.0,1
312,神奈川県川崎市,2014.0,2
313,神奈川県横浜市,2014.0,6
314,神奈川県横須賀市,2014.0,1
315,神奈川県相模原市,2015.0,2
316,神奈川県逗子市,2015.0,1
317,神奈川県鎌倉市,2014.0,1
318,福井県坂井市,2015.0,1
319,福井県永平寺町,2015.0,1
320,福岡県北九州市,2014.0,1
321,福岡県北九州市,2015.0,1
322,福岡県福岡市,2014.0,1
323,福岡県豊前市,2014.0,1
324,福岡県遠賀町,2014.0,1
325,福島県喜多方市,2014.0,1
326,福島県小野町,2015.0,1
327,福島県桑折町,2015.0,1
328,福島県西郷村,2014.0,1
329,福島県郡山市,2014.0,1
330,福島県金山町,2014.0,1
331,秋田県仙北市,2015.0,1
332,秋田県横手市,2015.0,1
333,秋田県湯沢市,2014.0,1
334,秋田県由利本荘市,2014.0,1
335,群馬県みなかみ町,2015.0,1
336,群馬県前橋市,2015.0,1
337,茨城県ひたちなか市,2015.0,1
338,茨城県取手市,2015.0,2
339,茨城県守谷市,2014.0,1
340,茨城県常陸大宮市,2015.0,1
341,茨城県常陸太田市,2015.0,1
342,茨城県日立市,2015.0,1
343,茨城県牛久市,2014.0,2
344,茨城県結城市,2014.0,1
345,茨城県阿見町,2014.0,1
346,長崎県小値賀町,2013.0,1
347,長崎県小値賀町,2014.0,1
348,長野県千曲市,2014.0,1
349,長野県千曲市,2015.0,1
350,長野県宮田村,2015.0,1
351,長野県茅野市,2015.0,1
352,長野県辰野町,2014.0,1
353,長野県長野市,2014.0,1
354,長野県飯綱町,2014.0,1
355,青森県鰺ヶ沢町,2014.0,1
356,静岡県掛川市,2015.0,1
357,静岡県沼津市,2014.0,1
358,静岡県浜松市,2015.0,1
359,静岡県磐田市,2014.0,1
360,静岡県藤枝市,2015.0,1
361,静岡県静岡市,2014.0,1
362,静岡県静岡市,2015.0,1
363,香川県坂出市,2015.0,1
364,高知県香美市,2015.0,1
365,高知県高知市,2014.0,1
366,鳥取県日南町,2015.0,2
367,鹿児島県南大隅町,2014.0,1
