,election,prefecture,municipality,ymd,year,month,day,kokuji_ymd,voting_rate,n_seats_display,n_cand_display,compe_ratio_display,n_voters_inlaw,male_voters_inlaw,female_voters_inlaw,change_voters_inlaw,reason,pre_voting_rate,pre_seats_display,pre_n_cand_display,pre_compe_rate_display,ele_ymd,n_districts,n_cand_data,n_wins_data,compe_rate_data,no_voting_ratio_win,no_voting_ratio_districts,minasi_nv_ratio_districts,ratio_women_cand,ratio_women_wins,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes,n_circles,age_mean_cand,age_std_cand,age_min_cand,age_1q_cand,age_median_cand,age_3q_cand,age_max_cand,age_mean_wins,age_std_wins,age_min_wins,age_1q_wins,age_median_wins,age_3q_wins,age_max_wins,得票数_NHKから国民を守る党,得票数_ひろかわまちをマトモにする会,得票数_ふくおかネットワーク,得票数_ふくおか市民政治,得票数_ふくおか市民政治ネットワーク,得票数_ふくおか市民政治ネットワーク・北九州,得票数_ふくおか平成会,得票数_みどり福岡,得票数_みらい福岡,得票数_みんなの党,得票数_みんなの改革福岡,得票数_サラリーマン新党,得票数_サラリーマン新党福岡県本部,得票数_久留米党,得票数_公明党,得票数_国民民主党,得票数_子供達にツケをまわすな会,得票数_平成会,得票数_幸福実現党,得票数_愛と平和の党,得票数_日本共産,得票数_日本共産党,得票数_日本創新党,得票数_日本新進党,得票数_日本維新の会,得票数_次世代の党,得票数_民主党,得票数_民進党,得票数_無所属,得票数_社会民主党,得票数_福政会,得票数_立憲民主党,得票数_維新の党,得票数_緑の党グリーンズジャパン,得票数_自由党,得票数_自由民主党,得票数_sum_v,得票率_NHKから国民を守る党,得票率_ひろかわまちをマトモにする会,得票率_ふくおかネットワーク,得票率_ふくおか市民政治,得票率_ふくおか市民政治ネットワーク,得票率_ふくおか市民政治ネットワーク・北九州,得票率_ふくおか平成会,得票率_みどり福岡,得票率_みらい福岡,得票率_みんなの党,得票率_みんなの改革福岡,得票率_サラリーマン新党,得票率_サラリーマン新党福岡県本部,得票率_久留米党,得票率_公明党,得票率_国民民主党,得票率_子供達にツケをまわすな会,得票率_平成会,得票率_幸福実現党,得票率_愛と平和の党,得票率_日本共産,得票率_日本共産党,得票率_日本創新党,得票率_日本新進党,得票率_日本維新の会,得票率_次世代の党,得票率_民主党,得票率_民進党,得票率_無所属,得票率_社会民主党,得票率_福政会,得票率_立憲民主党,得票率_維新の党,得票率_緑の党グリーンズジャパン,得票率_自由党,得票率_自由民主党,得票率_sum_v,一人あたり得票率_NHKから国民を守る党,一人あたり得票率_ひろかわまちをマトモにする会,一人あたり得票率_ふくおかネットワーク,一人あたり得票率_ふくおか市民政治,一人あたり得票率_ふくおか市民政治ネットワーク,一人あたり得票率_ふくおか市民政治ネットワーク・北九州,一人あたり得票率_ふくおか平成会,一人あたり得票率_みどり福岡,一人あたり得票率_みらい福岡,一人あたり得票率_みんなの党,一人あたり得票率_みんなの改革福岡,一人あたり得票率_サラリーマン新党,一人あたり得票率_サラリーマン新党福岡県本部,一人あたり得票率_久留米党,一人あたり得票率_公明党,一人あたり得票率_国民民主党,一人あたり得票率_子供達にツケをまわすな会,一人あたり得票率_平成会,一人あたり得票率_幸福実現党,一人あたり得票率_愛と平和の党,一人あたり得票率_日本共産,一人あたり得票率_日本共産党,一人あたり得票率_日本創新党,一人あたり得票率_日本新進党,一人あたり得票率_日本維新の会,一人あたり得票率_次世代の党,一人あたり得票率_民主党,一人あたり得票率_民進党,一人あたり得票率_無所属,一人あたり得票率_社会民主党,一人あたり得票率_福政会,一人あたり得票率_立憲民主党,一人あたり得票率_維新の党,一人あたり得票率_緑の党グリーンズジャパン,一人あたり得票率_自由党,一人あたり得票率_自由民主党,立候補者数_NHKから国民を守る党,立候補者数_ひろかわまちをマトモにする会,立候補者数_ふくおかネットワーク,立候補者数_ふくおか市民政治,立候補者数_ふくおか市民政治ネットワーク,立候補者数_ふくおか市民政治ネットワーク・北九州,立候補者数_ふくおか平成会,立候補者数_みどり福岡,立候補者数_みらい福岡,立候補者数_みんなの党,立候補者数_みんなの改革福岡,立候補者数_サラリーマン新党,立候補者数_サラリーマン新党福岡県本部,立候補者数_久留米党,立候補者数_公明党,立候補者数_国民民主党,立候補者数_子供達にツケをまわすな会,立候補者数_平成会,立候補者数_幸福実現党,立候補者数_愛と平和の党,立候補者数_日本共産,立候補者数_日本共産党,立候補者数_日本創新党,立候補者数_日本新進党,立候補者数_日本維新の会,立候補者数_次世代の党,立候補者数_民主党,立候補者数_民進党,立候補者数_無所属,立候補者数_社会民主党,立候補者数_福政会,立候補者数_立憲民主党,立候補者数_維新の党,立候補者数_緑の党グリーンズジャパン,立候補者数_自由党,立候補者数_自由民主党,当選者数_NHKから国民を守る党,当選者数_ひろかわまちをマトモにする会,当選者数_ふくおかネットワーク,当選者数_ふくおか市民政治,当選者数_ふくおか市民政治ネットワーク,当選者数_ふくおか市民政治ネットワーク・北九州,当選者数_ふくおか平成会,当選者数_みどり福岡,当選者数_みらい福岡,当選者数_みんなの党,当選者数_みんなの改革福岡,当選者数_サラリーマン新党,当選者数_サラリーマン新党福岡県本部,当選者数_久留米党,当選者数_公明党,当選者数_国民民主党,当選者数_子供達にツケをまわすな会,当選者数_平成会,当選者数_幸福実現党,当選者数_愛と平和の党,当選者数_日本共産,当選者数_日本共産党,当選者数_日本創新党,当選者数_日本新進党,当選者数_日本維新の会,当選者数_次世代の党,当選者数_民主党,当選者数_民進党,当選者数_無所属,当選者数_社会民主党,当選者数_福政会,当選者数_立憲民主党,当選者数_維新の党,当選者数_緑の党グリーンズジャパン,当選者数_自由党,当選者数_自由民主党
うきは市議会議員選挙（2006年04月23日投票）,うきは市議会議員選挙,福岡県,うきは市,20060423.0,2006.0,4.0,23.0,20060416.0,79.62,18.0,25.0,1.3888888888888888,26989.0,,,,任期満了,,,,,うきは市議会議員選挙（2006年04月23日投票）,1.0,25.0,18.0,1.3888888888888888,0.0,0.0,0.0,0.16,0.16666666666666666,0.8,0.2,0.0,0.7777777777777778,0.2222222222222222,0.0,0.7888086065958847,0.21119139340411539,,0.03944043032979423,0.042238278680823076,,21286.0,2.0,61.96,7.901797263914077,44.0,57.0,63.0,68.0,75.0,60.166666666666664,7.99478997014097,44.0,55.5,61.5,66.5,75.0,,,,,,,,,,,,,,,1484.0,,,,,,,,,,,,,,19802.0,,,,,,,,21286.0,,,,,,,,,,,,,,,0.06971718500422813,,,,,,,,,,,,,,0.9302828149957719,,,,,,,,1.0,,,,,,,,,,,,,,,0.06971718500422813,,,,,,,,,,,,,,0.038761783958157166,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,17.0,,,,,,,
うきは市議会議員選挙（2010年04月25日投票）,うきは市議会議員選挙,福岡県,うきは市,20100425.0,2010.0,4.0,25.0,20100418.0,73.64,16.0,18.0,1.125,26311.0,,,-678.0,任期満了,79.62,,,,うきは市議会議員選挙（2010年04月25日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.2777777777777778,0.25,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.625,0.25,0.125,0.5987889544291903,0.2462285326512502,0.15498251291955942,0.059878895442919036,0.04103808877520836,0.07749125645977971,19157.0,2.0,60.55555555555556,7.833136325339808,47.0,56.0,60.0,65.25,77.0,60.8125,8.22510448261905,47.0,55.25,60.0,66.5,77.0,,,,,,,,,,,,,,,1834.0,,,,,,,,,,,,,,17323.0,,,,,,,,19157.0,,,,,,,,,,,,,,,0.09573524038210576,,,,,,,,,,,,,,0.9042647596178942,,,,,,,,1.0,,,,,,,,,,,,,,,0.09573524038210576,,,,,,,,,,,,,,0.05319204468340554,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,15.0,,,,,,,
うきは市議会議員選挙（2014年04月27日投票）,うきは市議会議員選挙,福岡県,うきは市,20140427.0,2014.0,4.0,27.0,20140420.0,62.68,15.0,16.0,1.0666666666666669,25594.0,,,-717.0,任期満了,73.64,,,,うきは市議会議員選挙（2014年04月27日投票）,1.0,16.0,15.0,1.0666666666666667,0.0,0.0,0.0,0.125,0.13333333333333333,0.625,0.375,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6412961496523591,0.35870385034764085,,0.06412961496523592,0.05978397505794014,,15831.999,3.0,65.625,5.3253521010351985,57.0,62.75,65.0,67.0,81.0,65.66666666666667,5.497474167490214,57.0,62.5,65.0,67.0,81.0,,,,,,,,,,,,,,,1639.0,,,,,,,895.0010000000001,,,,,,,13297.998,,,,,,,,15831.999,,,,,,,,,,,,,,,0.10352451386587379,,,,,,,0.056531143035064624,,,,,,,0.8399443430990616,,,,,,,,1.0,,,,,,,,,,,,,,,0.10352451386587379,,,,,,,0.056531143035064624,,,,,,,0.05999602450707583,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,13.0,,,,,,,
うきは市議会議員選挙（2018年04月22日投票）,うきは市議会議員選挙,福岡県,うきは市,20180422.0,2018.0,4.0,22.0,20180415.0,59.11,14.0,17.0,1.2142857142857142,,,,,任期満了,62.68,,,,うきは市議会議員選挙（2018年04月22日投票）,1.0,17.0,14.0,1.2142857142857142,0.0,0.0,0.0,0.058823529411764705,0.07142857142857142,0.5882352941176471,0.4117647058823529,0.0,0.6428571428571429,0.35714285714285715,0.0,0.5979403752528001,0.4020596247471999,,0.05979403752528001,0.05743708924959999,,14597.999,3.0,64.3529411764706,6.3795738053349815,52.0,61.0,66.0,69.0,76.0,63.642857142857146,5.899238968558849,52.0,61.25,65.5,67.0,71.0,,,,,,,,,,,,,,,1481.0,,,,,,,657.0,,,,,,,12459.999,,,,,,,,14597.999,,,,,,,,,,,,,,,0.10145226068312513,,,,,,,0.04500616831115004,,,,,,,0.8535415710057248,,,,,,,,1.0,,,,,,,,,,,,,,,0.10145226068312513,,,,,,,0.04500616831115004,,,,,,,0.056902771400381656,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,12.0,,,,,,,
みやこ町議会議員選挙（2007年04月22日投票）,みやこ町議会議員選挙,福岡県,みやこ町,20070422.0,2007.0,4.0,22.0,20070417.0,80.47,18.0,32.0,1.7777777777777777,19079.0,,,,任期満了,,,,,みやこ町議会議員選挙（2007年04月22日投票）,1.0,32.0,18.0,1.7777777777777777,0.0,0.0,0.0,0.09375,0.16666666666666666,0.84375,0.125,0.03125,0.8333333333333334,0.1111111111111111,0.05555555555555555,0.815448752511166,0.10009594805013991,0.08445529943869405,0.030201805648561703,0.025023987012534978,0.08445529943869405,15226.99,3.0,59.9375,6.6658528149067315,47.0,55.0,58.5,64.0,78.0,61.166666666666664,6.593346814950827,51.0,57.25,59.5,64.0,78.0,,,,,,,,,,,,,,,,,,,,,,921.0,,,,,408.0,,13897.99,,,,,,,,15226.99,,,,,,,,,,,,,,,,,,,,,,0.06048470511900251,,,,,0.02679452734913466,,0.9127207675318628,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.030242352559501254,,,,,0.02679452734913466,,0.031473129914891824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,16.0,,,,,,,
みやこ町議会議員選挙（2011年04月24日投票）,みやこ町議会議員選挙,福岡県,みやこ町,20110424.0,2011.0,4.0,24.0,20110419.0,76.89,16.0,22.0,1.375,18196.0,,,-883.0,任期満了,80.47,,,,みやこ町議会議員選挙（2011年04月24日投票）,1.0,22.0,16.0,1.375,0.0,0.0,0.0,0.045454545454545456,0.0625,0.5454545454545454,0.22727272727272727,0.22727272727272727,0.625,0.125,0.25,0.6564483754512636,0.12968880866425994,0.21386281588447653,0.054704031287605294,0.025937761732851988,0.042772563176895304,13850.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.0,,,,,,,13076.0,,,,,,,,13850.0,,,,,,,,,,,,,,,,,,,,,,0.055884476534296026,,,,,,,0.9441155234657039,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.027942238267148013,,,,,,,0.0472057761732852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,15.0,,,,,,,
みやこ町議会議員選挙（2015年04月26日投票）,みやこ町議会議員選挙,福岡県,みやこ町,20150426.0,2015.0,4.0,26.0,20150421.0,70.99,16.0,18.0,1.125,17658.0,,,-538.0,任期満了,76.89,,,,みやこ町議会議員選挙（2015年04月26日投票）,1.0,18.0,16.0,1.125,0.0,0.0,0.0,0.05555555555555555,0.0625,0.8333333333333334,0.16666666666666666,0.0,0.875,0.125,0.0,0.8594542381067375,0.14054576189326248,,0.05729694920711583,0.04684858729775416,,12423.0,2.0,62.611111111111114,9.911491024108717,29.0,62.0,64.5,66.75,77.0,62.125,10.40958092336094,29.0,61.75,64.0,66.25,77.0,,,,,,,,,,,,,,,,,,,,,,620.0,,,,,,,11803.0,,,,,,,,12423.0,,,,,,,,,,,,,,,,,,,,,,0.04990742976736698,,,,,,,0.950092570232633,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.04990742976736698,,,,,,,0.05588779824897842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,15.0,,,,,,,
みやこ町議会議員選挙（2019年04月21日投票）,みやこ町議会議員選挙,福岡県,みやこ町,20190421.0,2019.0,4.0,21.0,20190416.0,66.55,14.0,16.0,1.1428571428571428,16860.0,,,-798.0,任期満了,70.99,,,,みやこ町議会議員選挙（2019年04月21日投票）,1.0,16.0,14.0,1.1428571428571428,0.0,0.0,0.0,0.0625,0.07142857142857142,0.8125,0.125,0.0625,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.7879060368852728,0.1550436565323186,0.05705030658240858,0.060608156683482524,0.0775218282661593,0.05705030658240858,11112.999,2.0,65.5625,8.085239251252865,41.0,64.75,68.0,70.0,76.0,65.71428571428571,8.630747123996123,41.0,66.0,68.0,70.0,76.0,,,,,,,,,,,,,,,,,,,,,,564.0,,,,,,,10548.999,,,,,,,,11112.999,,,,,,,,,,,,,,,,,,,,,,0.05075137683356221,,,,,,,0.9492486231664378,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.05075137683356221,,,,,,,0.06328324154442919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,13.0,,,,,,,
みやま市議会議員選挙（2007年07月01日投票）,みやま市議会議員選挙,福岡県,みやま市,20070701.0,2007.0,7.0,1.0,20070624.0,78.29,22.0,40.0,1.818181818181818,35707.0,,,,任期満了,,,,,みやま市議会議員選挙（2007年07月01日投票）,1.0,40.0,22.0,1.8181818181818181,0.0,0.0,0.0,0.075,0.045454545454545456,0.65,0.35,0.0,0.6363636363636364,0.36363636363636365,0.0,0.649355877034358,0.350644122965642,,0.024975226039783003,0.025046008783260142,,27650.0,2.0,59.6,7.009992867328753,45.0,55.0,59.0,65.25,75.0,58.22727272727273,7.006048154544875,45.0,54.25,59.0,61.5,75.0,,,,,,,,,,,,,,,1067.0,,,,,,,,,,,,,,26583.0,,,,,,,,27650.0,,,,,,,,,,,,,,,0.03858951175406872,,,,,,,,,,,,,,0.9614104882459313,,,,,,,,1.0,,,,,,,,,,,,,,,0.03858951175406872,,,,,,,,,,,,,,0.024651550980664905,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,21.0,,,,,,,
みやま市議会議員選挙（2011年07月24日投票）,みやま市議会議員選挙,福岡県,みやま市,20110724.0,2011.0,7.0,24.0,20110717.0,64.33,19.0,22.0,1.1578947368421053,34467.0,,,-1240.0,任期満了,78.29,,,,みやま市議会議員選挙（2011年07月24日投票）,1.0,22.0,19.0,1.1578947368421053,0.0,0.0,0.0,0.09090909090909091,0.05263157894736842,0.7727272727272727,0.22727272727272727,0.0,0.8947368421052632,0.10526315789473684,0.0,0.8206378132118451,0.1793621867881549,,0.048272812541873246,0.03587243735763098,,21950.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,,,,,,,,,,,,,,20550.0,,,,,,,,21950.0,,,,,,,,,,,,,,,0.06378132118451026,,,,,,,,,,,,,,0.9362186788154897,,,,,,,,1.0,,,,,,,,,,,,,,,0.06378132118451026,,,,,,,,,,,,,,0.04458184184835665,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,18.0,,,,,,,
みやま市議会議員選挙（2015年07月26日投票）,みやま市議会議員選挙,福岡県,みやま市,20150726.0,2015.0,7.0,26.0,20150719.0,64.64,17.0,22.0,1.2941176470588236,,,,,任期満了,64.33,,,,みやま市議会議員選挙（2015年07月26日投票）,1.0,22.0,17.0,1.2941176470588236,0.0,0.0,0.0,0.09090909090909091,0.11764705882352941,0.5454545454545454,0.4090909090909091,0.045454545454545456,0.6470588235294118,0.35294117647058826,0.0,0.5629976736457295,0.4104628970232161,0.026539429331054454,0.04691647280381079,0.04560698855813512,0.026539429331054454,21063.0,2.0,61.5,7.566372975210778,47.0,57.75,62.5,67.0,74.0,61.23529411764706,7.116917804158052,47.0,57.0,63.0,67.0,73.0,,,,,,,,,,,,,,,1255.0,,,,,,,,,,,,,,19808.0,,,,,,,,21063.0,,,,,,,,,,,,,,,0.05958315529601671,,,,,,,,,,,,,,0.9404168447039832,,,,,,,,1.0,,,,,,,,,,,,,,,0.05958315529601671,,,,,,,,,,,,,,0.04478175450971349,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,16.0,,,,,,,
みやま市議会議員選挙（2019年07月07日投票）,みやま市議会議員選挙,福岡県,みやま市,20190707.0,2019.0,7.0,7.0,20190630.0,59.06,16.0,17.0,1.0625,,,,,任期満了,64.64,,,,みやま市議会議員選挙（2019年07月07日投票）,1.0,17.0,16.0,1.0625,0.0,0.0,0.0,0.17647058823529413,0.1875,0.8235294117647058,0.17647058823529413,0.0,0.8125,0.1875,0.0,0.8095784010335417,0.19042159896645824,,0.05782702864525298,0.06347386632215275,,18555.999,2.0,62.05882352941177,7.603950894380646,48.0,57.0,65.0,67.0,74.0,61.75,7.73385414912901,48.0,56.75,63.0,67.25,74.0,,,,,,,,,,,,,,,1248.0,,,,,,,,,,,,,,17307.999,,,,,,,,18555.999,,,,,,,,,,,,,,,0.06725587773528119,,,,,,,,,,,,,,0.9327441222647188,,,,,,,,1.0,,,,,,,,,,,,,,,0.06725587773528119,,,,,,,,,,,,,,0.058296507641544926,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,15.0,,,,,,,
上毛町議会議員補欠選挙（2013年10月27日投票）,上毛町議会議員補欠選挙,福岡県,上毛町,20131027.0,2013.0,10.0,27.0,20131022.0,無投票,1.0,1.0,1.0,,,,,その他,,,,,上毛町議会議員補欠選挙（2013年10月27日投票）,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
上毛町議会議員選挙（2007年02月04日投票）,上毛町議会議員選挙,福岡県,上毛町,20070204.0,2007.0,2.0,4.0,20070130.0,84.4,14.0,19.0,1.3571428571428572,6871.0,,,,任期満了,,,,,上毛町議会議員選挙（2007年02月04日投票）,1.0,19.0,14.0,1.3571428571428572,0.0,0.0,0.0,0.05263157894736842,0.0,0.7894736842105263,0.15789473684210525,0.05263157894736842,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.849643664175213,0.08708499913088823,0.06327133669389884,0.0566429109450142,0.02902833304362941,0.06327133669389884,5753.0,2.0,56.473684210526315,13.84640717622267,30.0,46.0,59.0,66.5,86.0,60.57142857142857,12.998430046489053,30.0,54.25,64.5,67.0,86.0,,,,,,,,,,,,,,,,,,,,,,405.0,,,,,,,5348.0,,,,,,,,5753.0,,,,,,,,,,,,,,,,,,,,,,0.0703980531896402,,,,,,,0.9296019468103598,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.0703980531896402,,,,,,,0.051644552600575544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,13.0,,,,,,,
上毛町議会議員選挙（2011年02月06日投票）,上毛町議会議員選挙,福岡県,上毛町,20110206.0,2011.0,2.0,6.0,20110201.0,78.1,12.0,13.0,1.0833333333333333,6871.0,,,0.0,任期満了,84.4,,,,上毛町議会議員選挙（2011年02月06日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.07692307692307693,0.0,0.9166666666666666,0.08333333333333333,0.0,0.9248018557896772,0.07519814421032282,,0.07706682131580643,0.07519814421032282,,5173.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.0,,,,,,,4783.0,,,,,,,,5173.0,,,,,,,,,,,,,,,,,,,,,,0.07539145563502803,,,,,,,0.924608544364972,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.07539145563502803,,,,,,,0.07705071203041433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,11.0,,,,,,,
上毛町議会議員選挙（2015年02月01日投票）,上毛町議会議員選挙,福岡県,上毛町,20150201.0,2015.0,2.0,1.0,20150127.0,74.93,12.0,13.0,1.0833333333333333,6438.0,,,-433.0,任期満了,78.1,,,,上毛町議会議員選挙（2015年02月01日投票）,1.0,13.0,12.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.23076923076923078,0.0,0.75,0.25,0.0,0.7192982456140351,0.2807017543859649,,0.07192982456140351,0.0935672514619883,,4788.0,2.0,61.76923076923077,11.496848037305677,38.0,61.0,63.0,68.0,76.0,60.583333333333336,11.176301813311156,38.0,60.5,62.5,65.75,75.0,,,,,,,,,,,,,,,,,,,,,,323.0,,,,,,,4465.0,,,,,,,,4788.0,,,,,,,,,,,,,,,,,,,,,,0.06746031746031746,,,,,,,0.9325396825396826,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.06746031746031746,,,,,,,0.07771164021164022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,11.0,,,,,,,
上毛町議会議員選挙（2019年02月03日投票）,上毛町議会議員選挙,福岡県,上毛町,20190203.0,2019.0,2.0,3.0,20190129.0,無投票,12.0,12.0,1.0,,,,,任期満了,74.93,,,,上毛町議会議員選挙（2019年02月03日投票）,1.0,12.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,,,,,,,0.0,2.0,61.833333333333336,10.907438847970784,42.0,59.5,65.5,67.25,79.0,61.833333333333336,10.907438847970784,42.0,59.5,65.5,67.25,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,11.0,,,,,,,
中間市議会議員補欠選挙（2009年07月12日投票）,中間市議会議員補欠選挙,福岡県,中間市,20090712.0,2009.0,7.0,12.0,20090705.0,47.2,1.0,2.0,2.0,38213.0,,,,その他,,,,,中間市議会議員補欠選挙（2009年07月12日投票）,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.5,,14703.0,1.0,50.0,14.0,36.0,43.0,50.0,57.0,64.0,64.0,0.0,64.0,64.0,64.0,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14703.0,,,,,,,,14703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
中間市議会議員選挙（2007年04月22日投票）,中間市議会議員選挙,福岡県,中間市,20070422.0,2007.0,4.0,22.0,20070415.0,53.99,19.0,20.0,1.0526315789473684,38936.0,,,,任期満了,,,,,中間市議会議員選挙（2007年04月22日投票）,1.0,20.0,19.0,1.0526315789473684,0.0,0.0,0.0,0.25,0.2631578947368421,0.7,0.25,0.05,0.7368421052631579,0.21052631578947367,0.05263157894736842,0.6890726331168376,0.2565332251902948,0.054394141692867645,0.04921947379405983,0.051306645038058964,0.054394141692867645,20663.99,3.0,58.0,8.608135686662937,41.0,52.5,58.5,65.0,72.0,57.8421052631579,8.803487095552038,41.0,51.0,57.0,65.0,72.0,,,,,,,,,,,,,,,4214.0,,,,,,,2094.0,,,,,,,14355.99,,,,,,,,20663.989999999998,,,,,,,,,,,,,,,0.20392963798375824,,,,,,,0.10133570525343848,,,,,,,0.6947346567628033,,,,,,,,1.0,,,,,,,,,,,,,,,0.06797654599458608,,,,,,,0.05066785262671924,,,,,,,0.046315643784186886,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,,,,,14.0,,,,,,,
