"","","","","/項目 コード","H8101","H8102","H8103","H810401","H810402","H810407","H810408","H810409"
"調査年 コード","調査年","地域 コード","地域","/項目","H8101_都市計画区域指定面積【ｈａ】","H8102_市街化調整区域面積【ｈａ】","H8103_市街化区域面積【ｈａ】","H810401_住居専用地域面積【ｈａ】","H810402_住居地域面積【ｈａ】","H810407_工業専用地域面積【ｈａ】","H810408_商業・近隣商業地域面積【ｈａ】","H810409_工業・準工業地域面積【ｈａ】"
"1990100000","1990年度","23304","（旧）愛知県 長久手町","","***","1525","***","282.0","283.0","0.0","5.0","70.0"
"1990100000","1990年度","40305","（旧）福岡県 那珂川町","","***","1336","***","274.0","235.0","0.0","10.0","47.0"
"1989100000","1989年度","03305","（旧）岩手県 滝沢村","","***","1110","***","128.0","101.0","0.0","0.0","1.0"
"1989100000","1989年度","04423","（旧）宮城県 富谷町","","***","4071","***","618.3","118.7","52.8","0.0","52.0"
"1989100000","1989年度","12402","（旧）千葉県 大網白里町","","***","5287","***","320.0","177.0","0.0","16.0","40.0"
"1989100000","1989年度","17344","（旧）石川県 野々市町","","***","507","***","254.0","281.0","0.0","49.0","254.0"
"1989100000","1989年度","23304","（旧）愛知県 長久手町","","***","1525","***","282.0","283.0","0.0","5.0","70.0"
"1989100000","1989年度","40305","（旧）福岡県 那珂川町","","***","1336","***","274.0","235.0","0.0","10.0","47.0"
"1988100000","1988年度","03305","（旧）岩手県 滝沢村","","***","1110","***","128.0","101.0","0.0","0.0","1.0"
"1988100000","1988年度","04423","（旧）宮城県 富谷町","","***","4111","***","618.3","118.7","52.8","0.0","52.0"
"1988100000","1988年度","12402","（旧）千葉県 大網白里町","","***","2257","***","153.0","90.0","0.0","13.0","4.0"
"1988100000","1988年度","17344","（旧）石川県 野々市町","","***","507","***","266.0","281.0","0.0","49.0","242.0"
"1988100000","1988年度","23304","（旧）愛知県 長久手町","","***","1525","***","282.0","283.0","0.0","5.0","70.0"
"1988100000","1988年度","40305","（旧）福岡県 那珂川町","","***","1336","***","274.0","235.0","0.0","10.0","47.0"
"1987100000","1987年度","03305","（旧）岩手県 滝沢村","","***","1110","***","128.0","101.0","0.0","0.0","1.0"
"1987100000","1987年度","04423","（旧）宮城県 富谷町","","***","4111","***","621.9","115.1","52.8","0.0","52.0"
"1987100000","1987年度","12402","（旧）千葉県 大網白里町","","***","2257","***","153.0","90.0","0.0","13.0","4.0"
"1987100000","1987年度","17344","（旧）石川県 野々市町","","***","507","***","266.0","281.0","0.0","49.0","242.0"
