"","","","","/項目 コード","H8101","H8102","H8103","H810402","H810408","H810409"
"調査年 コード","調査年","地域 コード","地域","/項目","H8101_都市計画区域指定面積【ｈａ】","H8102_市街化調整区域面積【ｈａ】","H8103_市街化区域面積【ｈａ】","H810402_住居地域面積【ｈａ】","H810408_商業・近隣商業地域面積【ｈａ】","H810409_工業・準工業地域面積【ｈａ】"
"2004100000","2004年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0","***","394.2","31.7","69.7"
"2004100000","2004年度","23481","（旧）愛知県 一色町","","***","1712","***","228.7","11.0","15.0"
"2004100000","2004年度","23482","（旧）愛知県 吉良町","","***","3290","***","205.4","8.0","56.0"
"2004100000","2004年度","23483","（旧）愛知県 幡豆町","","***","2372","***","121.2","7.8","35.2"
"2004100000","2004年度","32304","（旧）島根県 東出雲町","","***","1538","***","156.0","13.0","151.0"
"2004100000","2004年度","32401","（旧）島根県 斐川町","","***","0","***","149.0","86.0","164.0"
"2003100000","2003年度","03422","（旧）岩手県 藤沢町","","***","0","***","0.0","0.0","0.0"
"2003100000","2003年度","09321","（旧）栃木県 西方町","","***","0","***","54.0","4.0","0.0"
"2003100000","2003年度","09367","（旧）栃木県 岩舟町","","***","4285","***","229.1","6.8","32.0"
"2003100000","2003年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0","***","394.2","31.7","69.7"
"2003100000","2003年度","23481","（旧）愛知県 一色町","","***","1703","***","228.7","11.0","15.0"
"2003100000","2003年度","23482","（旧）愛知県 吉良町","","***","3290","***","205.4","8.0","56.0"
"2003100000","2003年度","23483","（旧）愛知県 幡豆町","","***","2372","***","121.2","7.8","35.2"
"2003100000","2003年度","32304","（旧）島根県 東出雲町","","***","1538","***","156.1","12.8","153.0"
"2003100000","2003年度","32401","（旧）島根県 斐川町","","***","0","***","149.0","86.0","164.0"
"2002100000","2002年度","03422","（旧）岩手県 藤沢町","","***","0","***","0.0","0.0","0.0"
